country,name,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,4,,,,,,2020-03-07T08:00:00
AT,Burgenland,4,,,,,,2020-03-07T15:00:00
AT,Burgenland,4,,,,,,2020-03-08T08:00:00
AT,Burgenland,4,,,,,,2020-03-08T11:45:00
AT,Burgenland,4,,,,,,2020-03-08T15:00:00
AT,Burgenland,4,,,,,,2020-03-09T08:00:00
AT,Burgenland,4,,,,,,2020-03-09T15:00:00
AT,Burgenland,4,,,,,,2020-03-10T08:00:00
AT,Burgenland,4,,,,,,2020-03-10T15:00:00
AT,Burgenland,4,,,,,,2020-03-11T08:00:00
AT,Burgenland,4,,,,,,2020-03-11T15:00:00
AT,Burgenland,4,,,,,,2020-03-12T08:00:00
AT,Burgenland,6,,,,,,2020-03-12T15:00:00
AT,Burgenland,6,0,0,,,,2020-03-13T08:00:00
AT,Burgenland,7,0,0,,,,2020-03-13T15:00:00
AT,Burgenland,9,0,0,,,,2020-03-14T08:00:00
AT,Burgenland,10,0,0,,,,2020-03-14T15:00:00
AT,Burgenland,10,0,0,,,,2020-03-15T08:00:00
AT,Burgenland,10,0,0,,,,2020-03-15T15:00:00
AT,Burgenland,10,0,0,,,,2020-03-16T08:00:00
AT,Burgenland,10,0,0,,,,2020-03-16T15:00:00
AT,Burgenland,11,0,0,,,,2020-03-17T08:00:00
AT,Burgenland,11,0,0,,,,2020-03-17T15:00:00
AT,Burgenland,13,0,0,,,,2020-03-18T08:00:00
AT,Burgenland,20,0,0,,,,2020-03-18T15:00:00
AT,Burgenland,21,0,0,,,,2020-03-19T08:00:00
AT,Burgenland,29,0,0,,,,2020-03-19T14:30:00
AT,Burgenland,32,0,0,,,,2020-03-20T08:00:00
AT,Burgenland,33,0,0,,,,2020-03-20T14:30:00
AT,Burgenland,33,0,0,,,,2020-03-20T15:00:00
AT,Burgenland,35,0,0,,,,2020-03-21T08:00:00
AT,Burgenland,54,0,0,,,,2020-03-21T15:00:00
AT,Burgenland,54,0,0,,,,2020-03-22T08:00:00
AT,Burgenland,63,0,0,,,,2020-03-22T15:00:00
AT,Burgenland,64,0,0,,,,2020-03-23T08:00:00
AT,Burgenland,71,0,0,,,,2020-03-23T15:00:00
AT,Burgenland,85,0,0,,,,2020-03-24T08:00:00
AT,Burgenland,84,0,0,,,,2020-03-24T15:00:00
AT,Burgenland,88,0,0,,,,2020-03-25T08:00:00
AT,Burgenland,89,0,0,,,,2020-03-25T15:00:00
AT,Burgenland,89,0,0,,,,2020-03-26T08:00:00
AT,Burgenland,89,0,0,,,,2020-03-26T09:00:00
AT,Burgenland,115,0,0,,,,2020-03-26T15:00:00
AT,Burgenland,129,,,,5,2,2020-03-27T08:00:00
AT,Burgenland,140,,,,11,4,2020-03-27T09:30:00
AT,Burgenland,153,,,,9,4,2020-03-28T08:00:00
AT,Burgenland,177,,,,10,4,2020-03-29T09:30:00
AT,Burgenland,181,,,,10,4,2020-03-30T09:30:00
AT,Burgenland,187,,,,10,3,2020-03-31T09:30:00
AT,Burgenland,199,,,,10,3,2020-04-01T10:00:00
AT,Burgenland,204,,,,13,3,2020-04-02T09:30:00
AT,Burgenland,217,,,,12,4,2020-04-03T09:30:00
AT,Burgenland,224,,,,10,3,2020-04-04T09:30:00
AT,Burgenland,228,,,,12,6,2020-04-05T09:30:00
AT,Burgenland,234,,,,11,6,2020-04-06T09:30:00
AT,Burgenland,242,,,,13,4,2020-04-07T09:30:00
AT,Burgenland,243,,,,12,2,2020-04-08T10:00:00
AT,Burgenland,248,,,,15,4,2020-04-09T10:30:00
AT,Burgenland,259,,,,12,4,2020-04-10T10:00:00
AT,Burgenland,260,,,,14,3,2020-04-11T09:30:00
AT,Burgenland,266,,,,17,3,2020-04-12T09:30:00
AT,Burgenland,270,,,,12,3,2020-04-13T09:30:00
AT,Burgenland,126,,,,15,4,2020-04-14T09:30:00
AT,Burgenland,274,148,6,1938,20,4,2020-04-15T09:30:00
AT,Burgenland,278,148,6,1938,20,4,2020-04-15T15:00:00
AT,Burgenland,280,148,6,1938,20,4,2020-04-16T08:00:00
AT,Burgenland,280,165,6,2020,17,4,2020-04-16T09:30:00
AT,Burgenland,286,165,6,2020,17,4,2020-04-16T15:00:00
AT,Burgenland,286,165,6,2020,17,4,2020-04-17T08:00:00
AT,Burgenland,286,167,7,2209,18,5,2020-04-17T09:30:00
AT,Burgenland,289,167,7,2209,18,5,2020-04-17T15:00:00
AT,Burgenland,295,167,7,2209,18,5,2020-04-18T08:00:00
AT,Burgenland,295,181,7,2301,17,5,2020-04-18T09:30:00
AT,Burgenland,298,181,7,2301,17,5,2020-04-18T15:00:00
AT,Burgenland,299,181,7,2301,17,5,2020-04-19T08:00:00
AT,Burgenland,299,198,8,2357,16,5,2020-04-19T09:30:00
AT,Burgenland,302,198,8,2357,16,5,2020-04-19T15:00:00
AT,Burgenland,302,198,8,2357,16,5,2020-04-20T08:00:00
AT,Burgenland,302,200,8,2386,16,4,2020-04-20T09:30:00
AT,Burgenland,307,200,8,2386,16,4,2020-04-20T15:00:00
AT,Burgenland,309,200,8,2386,16,4,2020-04-21T08:00:00
AT,Burgenland,309,210,8,2534,17,4,2020-04-21T09:30:00
AT,Burgenland,310,210,8,2534,17,4,2020-04-21T15:00:00
AT,Burgenland,310,210,8,2534,17,4,2020-04-22T08:00:00
AT,Burgenland,310,227,9,2660,12,2,2020-04-22T09:30:00
AT,Burgenland,311,227,9,2660,12,2,2020-04-22T15:00:00
AT,Burgenland,313,227,9,2660,12,2,2020-04-23T08:00:00
AT,Burgenland,313,226,9,3006,17,4,2020-04-23T09:30:00
AT,Burgenland,314,226,9,3006,17,4,2020-04-23T15:00:00
AT,Burgenland,314,226,9,3006,17,4,2020-04-24T08:00:00
AT,Burgenland,314,230,8,3568,14,2,2020-04-24T09:30:00
AT,Burgenland,315,230,8,3568,14,2,2020-04-24T15:00:00
AT,Burgenland,315,230,8,3568,14,2,2020-04-25T08:00:00
AT,Burgenland,315,235,8,4155,12,2,2020-04-25T09:30:00
AT,Burgenland,316,235,8,4155,12,2,2020-04-25T15:00:00
AT,Burgenland,316,235,8,4155,12,2,2020-04-26T08:00:00
AT,Burgenland,316,234,9,4167,11,2,2020-04-26T09:30:00
AT,Burgenland,317,234,9,4167,11,2,2020-04-26T15:00:00
AT,Burgenland,317,234,9,4167,11,2,2020-04-27T08:00:00
AT,Burgenland,317,236,9,4232,13,2,2020-04-27T09:30:00
AT,Burgenland,320,236,9,4232,13,2,2020-04-27T15:00:00
AT,Burgenland,321,236,9,4232,13,2,2020-04-28T08:00:00
AT,Burgenland,321,242,10,5302,11,3,2020-04-28T09:30:00
AT,Burgenland,321,242,10,5302,11,3,2020-04-28T15:00:00
AT,Burgenland,321,242,10,5302,11,3,2020-04-29T08:00:00
AT,Burgenland,321,246,10,5971,8,2,2020-04-29T09:30:00
AT,Burgenland,322,246,10,5971,8,2,2020-04-29T15:00:00
AT,Burgenland,323,246,10,5971,8,2,2020-04-30T08:00:00
AT,Burgenland,323,250,10,6619,9,2,2020-04-30T09:30:00
AT,Burgenland,325,250,10,6619,9,2,2020-04-30T15:00:00
AT,Burgenland,325,250,10,6619,9,2,2020-05-01T08:00:00
AT,Burgenland,325,255,10,6959,8,2,2020-05-01T09:30:00
AT,Burgenland,326,255,10,6959,8,2,2020-05-01T15:00:00
AT,Burgenland,326,255,10,6959,8,2,2020-05-02T08:00:00
AT,Burgenland,326,256,10,7426,8,2,2020-05-02T09:30:00
AT,Burgenland,327,256,10,7426,8,2,2020-05-02T15:00:00
AT,Burgenland,327,256,10,7426,8,2,2020-05-03T08:00:00
AT,Burgenland,327,258,10,7529,4,1,2020-05-03T09:30:00
AT,Burgenland,327,258,10,7529,4,1,2020-05-03T15:00:00
AT,Burgenland,327,258,10,7529,4,1,2020-05-04T08:00:00
AT,Burgenland,327,261,11,7637,3,1,2020-05-04T09:30:00
AT,Burgenland,328,261,11,7637,3,1,2020-05-04T15:00:00
AT,Burgenland,329,261,11,7637,3,1,2020-05-05T08:00:00
AT,Burgenland,329,261,11,7795,6,1,2020-05-05T09:30:00
AT,Burgenland,329,261,11,7795,6,1,2020-05-05T15:00:00
AT,Burgenland,329,261,11,7795,6,1,2020-05-06T08:00:00
AT,Burgenland,329,264,11,7847,5,1,2020-05-06T09:30:00
AT,Burgenland,330,264,11,7847,5,1,2020-05-06T15:00:00
AT,Burgenland,330,264,11,7847,5,1,2020-05-07T08:00:00
AT,Burgenland,330,269,11,8078,4,1,2020-05-07T09:30:00
AT,Burgenland,330,269,11,8078,4,1,2020-05-07T15:00:00
AT,Burgenland,330,269,11,8078,4,1,2020-05-08T08:00:00
AT,Burgenland,330,272,11,8145,6,0,2020-05-08T09:30:00
AT,Burgenland,330,272,11,8145,6,0,2020-05-08T15:00:00
AT,Burgenland,330,272,11,8145,6,0,2020-05-09T08:00:00
AT,Burgenland,330,279,11,8255,6,0,2020-05-09T09:30:00
AT,Burgenland,331,279,11,8255,6,0,2020-05-09T15:00:00
AT,Burgenland,331,279,11,8255,6,0,2020-05-10T08:00:00
AT,Burgenland,331,282,11,8444,6,0,2020-05-10T09:30:00
AT,Burgenland,330,282,11,8444,6,0,2020-05-10T15:00:00
AT,Burgenland,330,282,11,8444,6,0,2020-05-11T08:00:00
AT,Burgenland,330,283,11,8477,3,0,2020-05-11T09:30:00
AT,Burgenland,331,283,11,8477,3,0,2020-05-11T15:00:00
AT,Burgenland,332,283,11,8477,3,0,2020-05-12T08:00:00
AT,Burgenland,332,290,11,8817,0,0,2020-05-12T09:30:00
AT,Burgenland,332,290,11,8817,0,0,2020-05-12T15:00:00
AT,Burgenland,331,290,11,8817,0,0,2020-05-13T08:00:00
AT,Burgenland,331,297,11,9162,4,0,2020-05-13T09:30:00
AT,Burgenland,335,297,11,9162,4,0,2020-05-13T15:00:00
