country,name,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Kärnten,1,,,,,,2020-03-05T15:00:00
AT,Kärnten,1,,,,,,2020-03-06T08:00:00
AT,Kärnten,1,,,,,,2020-03-06T15:00:00
AT,Kärnten,1,,,,,,2020-03-07T08:00:00
AT,Kärnten,1,,,,,,2020-03-07T15:00:00
AT,Kärnten,1,,,,,,2020-03-08T08:00:00
AT,Kärnten,1,,,,,,2020-03-08T11:45:00
AT,Kärnten,1,,,,,,2020-03-08T15:00:00
AT,Kärnten,1,,,,,,2020-03-09T08:00:00
AT,Kärnten,1,,,,,,2020-03-09T15:00:00
AT,Kärnten,1,,,,,,2020-03-10T08:00:00
AT,Kärnten,1,,,,,,2020-03-10T15:00:00
AT,Kärnten,1,,,,,,2020-03-11T08:00:00
AT,Kärnten,3,,,,,,2020-03-11T15:00:00
AT,Kärnten,3,,,,,,2020-03-12T08:00:00
AT,Kärnten,3,,,,,,2020-03-12T15:00:00
AT,Kärnten,4,0,0,,,,2020-03-13T08:00:00
AT,Kärnten,4,0,0,,,,2020-03-13T15:00:00
AT,Kärnten,4,0,0,,,,2020-03-14T08:00:00
AT,Kärnten,5,0,0,,,,2020-03-14T15:00:00
AT,Kärnten,6,0,0,,,,2020-03-15T08:00:00
AT,Kärnten,6,0,0,,,,2020-03-15T15:00:00
AT,Kärnten,7,0,0,,,,2020-03-16T08:00:00
AT,Kärnten,18,0,0,,,,2020-03-16T15:00:00
AT,Kärnten,18,0,0,,,,2020-03-17T08:00:00
AT,Kärnten,27,0,0,,,,2020-03-17T15:00:00
AT,Kärnten,29,0,0,,,,2020-03-18T08:00:00
AT,Kärnten,41,0,0,,,,2020-03-18T15:00:00
AT,Kärnten,45,0,0,,,,2020-03-19T08:00:00
AT,Kärnten,50,0,0,,,,2020-03-19T14:30:00
AT,Kärnten,63,0,0,,,,2020-03-20T08:00:00
AT,Kärnten,71,0,0,,,,2020-03-20T14:30:00
AT,Kärnten,71,0,0,,,,2020-03-20T15:00:00
AT,Kärnten,74,0,0,,,,2020-03-21T08:00:00
AT,Kärnten,83,0,0,,,,2020-03-21T15:00:00
