country,name,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Niederösterreich,5,,,,,,2020-03-04T17:45:00
AT,Niederösterreich,12,,,,,,2020-03-05T08:00:00
AT,Niederösterreich,13,,,,,,2020-03-05T15:00:00
AT,Niederösterreich,15,,,,,,2020-03-06T08:00:00
AT,Niederösterreich,15,,,,,,2020-03-06T15:00:00
AT,Niederösterreich,23,,,,,,2020-03-07T08:00:00
AT,Niederösterreich,23,,,,,,2020-03-07T15:00:00
AT,Niederösterreich,36,,,,,,2020-03-08T08:00:00
AT,Niederösterreich,31,,,,,,2020-03-08T11:45:00
AT,Niederösterreich,31,,,,,,2020-03-08T15:00:00
AT,Niederösterreich,36,,,,,,2020-03-09T08:00:00
AT,Niederösterreich,36,,,,,,2020-03-09T15:00:00
AT,Niederösterreich,39,,,,,,2020-03-10T08:00:00
AT,Niederösterreich,40,,,,,,2020-03-10T15:00:00
AT,Niederösterreich,45,,,,,,2020-03-11T08:00:00
AT,Niederösterreich,45,,,,,,2020-03-11T15:00:00
AT,Niederösterreich,51,,,,,,2020-03-12T08:00:00
AT,Niederösterreich,51,,,,,,2020-03-12T15:00:00
AT,Niederösterreich,63,1,0,,,,2020-03-13T08:00:00
AT,Niederösterreich,63,1,0,,,,2020-03-13T15:00:00
AT,Niederösterreich,82,1,0,,,,2020-03-14T08:00:00
AT,Niederösterreich,82,1,0,,,,2020-03-14T15:00:00
AT,Niederösterreich,112,1,0,,,,2020-03-15T08:00:00
AT,Niederösterreich,111,1,0,,,,2020-03-15T15:00:00
AT,Niederösterreich,150,1,0,,,,2020-03-16T08:00:00
AT,Niederösterreich,152,1,0,,,,2020-03-16T15:00:00
AT,Niederösterreich,165,1,0,,,,2020-03-17T08:00:00
AT,Niederösterreich,216,2,0,,,,2020-03-17T15:00:00
AT,Niederösterreich,237,2,0,,,,2020-03-18T08:00:00
AT,Niederösterreich,256,2,0,,,,2020-03-18T15:00:00
AT,Niederösterreich,283,2,0,,,,2020-03-19T08:00:00
AT,Niederösterreich,305,2,0,,,,2020-03-19T14:30:00
AT,Niederösterreich,317,2,0,,,,2020-03-20T08:00:00
AT,Niederösterreich,355,2,0,,,,2020-03-20T14:30:00
AT,Niederösterreich,355,2,0,,,,2020-03-20T15:00:00
AT,Niederösterreich,390,2,0,,,,2020-03-21T08:00:00
AT,Niederösterreich,394,2,0,,,,2020-03-21T15:00:00
AT,Niederösterreich,422,2,0,,,,2020-03-22T08:00:00
AT,Niederösterreich,446,2,0,,,,2020-03-22T15:00:00
AT,Niederösterreich,512,2,0,,,,2020-03-23T08:00:00
AT,Niederösterreich,564,0,0,,,,2020-03-23T15:00:00
AT,Niederösterreich,610,0,0,,,,2020-03-24T08:00:00
AT,Niederösterreich,620,0,0,,,,2020-03-24T15:00:00
AT,Niederösterreich,691,0,0,,,,2020-03-25T08:00:00
AT,Niederösterreich,750,0,0,,,,2020-03-25T15:00:00
AT,Niederösterreich,799,0,0,,,,2020-03-26T08:00:00
AT,Niederösterreich,789,0,0,,,,2020-03-26T09:00:00
AT,Niederösterreich,873,0,0,,,,2020-03-26T15:00:00
AT,Niederösterreich,1130,,,,137,21,2020-03-27T08:00:00
AT,Niederösterreich,1163,,,,127,18,2020-03-27T09:30:00
AT,Niederösterreich,1299,,,,127,18,2020-03-28T08:00:00
AT,Niederösterreich,1452,,,,160,26,2020-03-29T09:30:00
AT,Niederösterreich,1584,,,,167,26,2020-03-30T09:30:00
AT,Niederösterreich,1676,,,,223,32,2020-03-31T09:30:00
AT,Niederösterreich,1726,,,,200,36,2020-04-01T10:00:00
AT,Niederösterreich,1790,,,,203,43,2020-04-02T09:30:00
AT,Niederösterreich,1862,,,,203,43,2020-04-03T09:30:00
AT,Niederösterreich,1863,,,,206,39,2020-04-04T09:30:00
AT,Niederösterreich,1942,,,,212,43,2020-04-05T09:30:00
AT,Niederösterreich,2061,,,,207,43,2020-04-06T09:30:00
AT,Niederösterreich,2111,,,,217,48,2020-04-07T09:30:00
AT,Niederösterreich,2157,,,,208,55,2020-04-08T10:00:00
AT,Niederösterreich,2203,,,,208,54,2020-04-09T10:30:00
AT,Niederösterreich,2249,,,,205,53,2020-04-10T10:00:00
AT,Niederösterreich,2302,,,,236,42,2020-04-11T09:30:00
AT,Niederösterreich,2342,,,,231,42,2020-04-12T09:30:00
AT,Niederösterreich,2376,,,,234,42,2020-04-13T09:30:00
AT,Niederösterreich,1120,,,,236,43,2020-04-14T09:30:00
AT,Niederösterreich,2398,1315,71,16188,235,42,2020-04-15T09:30:00
AT,Niederösterreich,2415,1315,71,16188,235,42,2020-04-15T15:00:00
AT,Niederösterreich,2427,1315,71,16188,235,42,2020-04-16T08:00:00
AT,Niederösterreich,2427,1415,73,17410,236,46,2020-04-16T09:30:00
AT,Niederösterreich,2436,1415,73,17410,236,46,2020-04-16T15:00:00
AT,Niederösterreich,2446,1415,73,17410,236,46,2020-04-17T08:00:00
AT,Niederösterreich,2446,1498,77,18269,219,40,2020-04-17T09:30:00
AT,Niederösterreich,2461,1498,77,18269,219,40,2020-04-17T15:00:00
AT,Niederösterreich,2461,1498,77,18269,219,40,2020-04-18T08:00:00
AT,Niederösterreich,2461,1560,80,18831,207,41,2020-04-18T09:30:00
AT,Niederösterreich,2469,1560,80,18831,207,41,2020-04-18T15:00:00
AT,Niederösterreich,2470,1560,80,18831,207,41,2020-04-19T08:00:00
AT,Niederösterreich,2470,1560,82,19112,196,40,2020-04-19T09:30:00
AT,Niederösterreich,2476,1560,82,19112,196,40,2020-04-19T15:00:00
AT,Niederösterreich,2479,1560,82,19112,196,40,2020-04-20T08:00:00
AT,Niederösterreich,2479,1572,83,19588,193,37,2020-04-20T09:30:00
AT,Niederösterreich,2495,1572,83,19588,193,37,2020-04-20T15:00:00
AT,Niederösterreich,2501,1572,83,19588,193,37,2020-04-21T08:00:00
AT,Niederösterreich,2501,1623,85,20218,151,42,2020-04-21T09:30:00
AT,Niederösterreich,2500,1623,85,20218,151,42,2020-04-21T15:00:00
AT,Niederösterreich,2500,1623,85,20218,151,42,2020-04-22T08:00:00
AT,Niederösterreich,2500,1685,87,20980,141,43,2020-04-22T09:30:00
AT,Niederösterreich,2519,1685,87,20980,141,43,2020-04-22T15:00:00
AT,Niederösterreich,2529,1685,87,20980,141,43,2020-04-23T08:00:00
AT,Niederösterreich,2529,1841,88,21969,131,43,2020-04-23T09:30:00
AT,Niederösterreich,2531,1841,88,21969,131,43,2020-04-23T15:00:00
AT,Niederösterreich,2533,1841,88,21969,131,43,2020-04-24T08:00:00
AT,Niederösterreich,2533,1890,89,22572,127,40,2020-04-24T09:30:00
AT,Niederösterreich,2546,1890,89,22572,127,40,2020-04-24T15:00:00
AT,Niederösterreich,2547,1890,89,22572,127,40,2020-04-25T08:00:00
AT,Niederösterreich,2547,1950,90,24800,114,37,2020-04-25T09:30:00
AT,Niederösterreich,2553,1950,90,24800,114,37,2020-04-25T15:00:00
AT,Niederösterreich,2554,1950,90,24800,114,37,2020-04-26T08:00:00
AT,Niederösterreich,2554,2026,90,25849,120,39,2020-04-26T09:30:00
AT,Niederösterreich,2562,2026,90,25849,120,39,2020-04-26T15:00:00
AT,Niederösterreich,2562,2026,90,25849,120,39,2020-04-27T08:00:00
AT,Niederösterreich,2562,2042,92,27250,113,37,2020-04-27T09:30:00
AT,Niederösterreich,2573,2042,92,27250,113,37,2020-04-27T15:00:00
AT,Niederösterreich,2574,2042,92,27250,113,37,2020-04-28T08:00:00
AT,Niederösterreich,2574,2101,92,28534,110,35,2020-04-28T09:30:00
AT,Niederösterreich,2577,2101,92,28534,110,35,2020-04-28T15:00:00
AT,Niederösterreich,2583,2101,92,28534,110,35,2020-04-29T08:00:00
AT,Niederösterreich,2583,2141,92,29741,104,36,2020-04-29T09:30:00
AT,Niederösterreich,2591,2141,92,29741,104,36,2020-04-29T15:00:00
AT,Niederösterreich,2597,2141,92,29741,104,36,2020-04-30T08:00:00
AT,Niederösterreich,2597,2164,92,31034,104,36,2020-04-30T09:30:00
AT,Niederösterreich,2619,2164,92,31034,104,36,2020-04-30T15:00:00
AT,Niederösterreich,2623,2164,92,31034,104,36,2020-05-01T08:00:00
AT,Niederösterreich,2623,2221,92,31930,99,37,2020-05-01T09:30:00
AT,Niederösterreich,2625,2221,92,31930,99,37,2020-05-01T15:00:00
AT,Niederösterreich,2626,2221,92,31930,99,37,2020-05-02T08:00:00
AT,Niederösterreich,2626,2238,92,32438,90,35,2020-05-02T09:30:00
AT,Niederösterreich,2630,2238,92,32438,90,35,2020-05-02T15:00:00
AT,Niederösterreich,2630,2238,92,32438,90,35,2020-05-03T08:00:00
AT,Niederösterreich,2630,2255,92,32815,85,34,2020-05-03T09:30:00
AT,Niederösterreich,2633,2255,92,32815,85,34,2020-05-03T15:00:00
AT,Niederösterreich,2633,2255,92,32815,85,34,2020-05-04T08:00:00
AT,Niederösterreich,2633,2270,93,33646,86,35,2020-05-04T09:30:00
AT,Niederösterreich,2638,2270,93,33646,86,35,2020-05-04T15:00:00
AT,Niederösterreich,2642,2270,93,33646,86,35,2020-05-05T08:00:00
AT,Niederösterreich,2642,2310,95,34690,86,33,2020-05-05T09:30:00
AT,Niederösterreich,2650,2310,95,34690,86,33,2020-05-05T15:00:00
AT,Niederösterreich,2653,2310,95,34690,86,33,2020-05-06T08:00:00
AT,Niederösterreich,2653,2369,95,35997,84,29,2020-05-06T09:30:00
AT,Niederösterreich,2661,2369,95,35997,84,29,2020-05-06T15:00:00
AT,Niederösterreich,2663,2369,95,35997,84,29,2020-05-07T08:00:00
AT,Niederösterreich,2663,2370,95,37010,76,28,2020-05-07T09:30:00
AT,Niederösterreich,2666,2370,95,37010,76,28,2020-05-07T15:00:00
AT,Niederösterreich,2669,2370,95,37010,76,28,2020-05-08T08:00:00
AT,Niederösterreich,2669,2394,95,38048,73,28,2020-05-08T09:30:00
AT,Niederösterreich,2682,2394,95,38048,73,28,2020-05-08T15:00:00
AT,Niederösterreich,2682,2394,95,38048,73,28,2020-05-09T08:00:00
AT,Niederösterreich,2682,2405,95,39532,72,25,2020-05-09T09:30:00
AT,Niederösterreich,2684,2405,95,39532,72,25,2020-05-09T15:00:00
AT,Niederösterreich,2685,2405,95,39532,72,25,2020-05-10T08:00:00
AT,Niederösterreich,2685,2414,95,40655,68,24,2020-05-10T09:30:00
