country,name,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Oberösterreich,1,,,,,,2020-03-06T08:00:00
AT,Oberösterreich,1,,,,,,2020-03-06T15:00:00
AT,Oberösterreich,4,,,,,,2020-03-07T08:00:00
AT,Oberösterreich,4,,,,,,2020-03-07T15:00:00
AT,Oberösterreich,7,,,,,,2020-03-08T08:00:00
AT,Oberösterreich,7,,,,,,2020-03-08T11:45:00
AT,Oberösterreich,7,,,,,,2020-03-08T15:00:00
AT,Oberösterreich,9,,,,,,2020-03-09T08:00:00
AT,Oberösterreich,11,,,,,,2020-03-09T15:00:00
AT,Oberösterreich,13,,,,,,2020-03-10T08:00:00
AT,Oberösterreich,22,,,,,,2020-03-10T15:00:00
AT,Oberösterreich,28,,,,,,2020-03-11T08:00:00
AT,Oberösterreich,35,,,,,,2020-03-11T15:00:00
AT,Oberösterreich,50,,,,,,2020-03-12T08:00:00
AT,Oberösterreich,58,,,,,,2020-03-12T15:00:00
AT,Oberösterreich,68,0,0,,,,2020-03-13T08:00:00
AT,Oberösterreich,84,0,0,,,,2020-03-13T15:00:00
AT,Oberösterreich,101,0,0,,,,2020-03-14T08:00:00
AT,Oberösterreich,116,0,0,,,,2020-03-14T15:00:00
AT,Oberösterreich,158,0,0,,,,2020-03-15T08:00:00
AT,Oberösterreich,159,0,0,,,,2020-03-15T15:00:00
AT,Oberösterreich,196,0,0,,,,2020-03-16T08:00:00
AT,Oberösterreich,202,0,0,,,,2020-03-16T15:00:00
AT,Oberösterreich,231,0,0,,,,2020-03-17T08:00:00
AT,Oberösterreich,248,0,0,,,,2020-03-17T15:00:00
AT,Oberösterreich,285,0,0,,,,2020-03-18T08:00:00
AT,Oberösterreich,305,0,0,,,,2020-03-18T15:00:00
AT,Oberösterreich,345,0,0,,,,2020-03-19T08:00:00
AT,Oberösterreich,371,0,0,,,,2020-03-19T14:30:00
AT,Oberösterreich,399,0,0,,,,2020-03-20T08:00:00
AT,Oberösterreich,421,0,0,,,,2020-03-20T14:30:00
AT,Oberösterreich,421,0,0,,,,2020-03-20T15:00:00
AT,Oberösterreich,507,0,0,,,,2020-03-21T08:00:00
AT,Oberösterreich,548,0,0,,,,2020-03-21T15:00:00
AT,Oberösterreich,606,0,0,,,,2020-03-22T08:00:00
AT,Oberösterreich,628,0,0,,,,2020-03-22T15:00:00
AT,Oberösterreich,696,0,0,,,,2020-03-23T08:00:00
AT,Oberösterreich,707,0,0,,,,2020-03-23T15:00:00
AT,Oberösterreich,764,0,0,,,,2020-03-24T08:00:00
AT,Oberösterreich,795,0,0,,,,2020-03-24T15:00:00
AT,Oberösterreich,860,0,0,,,,2020-03-25T08:00:00
AT,Oberösterreich,915,0,0,,,,2020-03-25T15:00:00
AT,Oberösterreich,1199,,,,63,8,2020-03-27T08:00:00
AT,Oberösterreich,1285,,,,82,10,2020-03-27T09:30:00
AT,Oberösterreich,1402,,,,82,10,2020-03-28T08:00:00
AT,Oberösterreich,1527,,,,138,22,2020-03-29T09:30:00
AT,Oberösterreich,1573,,,,156,23,2020-03-30T09:30:00
AT,Oberösterreich,1656,,,,167,27,2020-03-31T09:30:00
AT,Oberösterreich,1748,,,,142,29,2020-04-01T10:00:00
AT,Oberösterreich,1810,,,,138,31,2020-04-02T09:30:00
AT,Oberösterreich,1869,,,,135,33,2020-04-03T09:30:00
AT,Oberösterreich,1916,,,,135,33,2020-04-04T09:30:00
AT,Oberösterreich,1955,,,,136,32,2020-04-05T09:30:00
AT,Oberösterreich,1978,,,,135,29,2020-04-06T09:30:00
AT,Oberösterreich,2021,,,,125,31,2020-04-07T09:30:00
AT,Oberösterreich,2055,,,,152,33,2020-04-08T10:00:00
AT,Oberösterreich,2089,,,,146,29,2020-04-09T10:30:00
AT,Oberösterreich,2110,,,,120,28,2020-04-10T10:00:00
AT,Oberösterreich,2119,,,,116,29,2020-04-11T09:30:00
AT,Oberösterreich,2122,,,,115,29,2020-04-12T09:30:00
AT,Oberösterreich,2135,,,,116,32,2020-04-13T09:30:00
AT,Oberösterreich,578,,,,116,30,2020-04-14T09:30:00
AT,Oberösterreich,2150,1633,32,26579,117,30,2020-04-15T09:30:00
AT,Oberösterreich,2162,1633,32,26579,117,30,2020-04-15T15:00:00
AT,Oberösterreich,2171,1633,32,26579,117,30,2020-04-16T08:00:00
AT,Oberösterreich,2171,1714,34,27453,109,31,2020-04-16T09:30:00
AT,Oberösterreich,2174,1714,34,27453,109,31,2020-04-16T15:00:00
AT,Oberösterreich,2175,1714,34,27453,109,31,2020-04-17T08:00:00
AT,Oberösterreich,2175,1753,37,27858,101,30,2020-04-17T09:30:00
AT,Oberösterreich,2183,1753,37,27858,101,30,2020-04-17T15:00:00
AT,Oberösterreich,2194,1753,37,27858,101,30,2020-04-18T08:00:00
AT,Oberösterreich,2194,1822,37,29190,97,25,2020-04-18T09:30:00
AT,Oberösterreich,2199,1822,37,29190,97,25,2020-04-18T15:00:00
AT,Oberösterreich,2199,1822,37,29190,97,25,2020-04-19T08:00:00
AT,Oberösterreich,2199,1847,38,29696,95,29,2020-04-19T09:30:00
AT,Oberösterreich,2200,1847,38,29696,95,29,2020-04-19T15:00:00
AT,Oberösterreich,2203,1847,38,29696,95,29,2020-04-20T08:00:00
AT,Oberösterreich,2203,1884,41,30373,90,27,2020-04-20T09:30:00
AT,Oberösterreich,2205,1884,41,30373,90,27,2020-04-20T15:00:00
AT,Oberösterreich,2211,1884,41,30373,90,27,2020-04-21T08:00:00
AT,Oberösterreich,2211,1912,44,31046,90,30,2020-04-21T09:30:00
AT,Oberösterreich,2211,1912,44,31046,90,30,2020-04-21T15:00:00
AT,Oberösterreich,2215,1912,44,31046,90,30,2020-04-22T08:00:00
AT,Oberösterreich,2215,1944,47,31933,79,20,2020-04-22T09:30:00
AT,Oberösterreich,2218,1944,47,31933,79,20,2020-04-22T15:00:00
AT,Oberösterreich,2219,1944,47,31933,79,20,2020-04-23T08:00:00
AT,Oberösterreich,2219,1972,48,33100,78,18,2020-04-23T09:30:00
AT,Oberösterreich,2222,1972,48,33100,78,18,2020-04-23T15:00:00
AT,Oberösterreich,2230,1972,48,33100,78,18,2020-04-24T08:00:00
AT,Oberösterreich,2230,2007,48,34014,78,15,2020-04-24T09:30:00
AT,Oberösterreich,2232,2007,48,34014,78,15,2020-04-24T15:00:00
AT,Oberösterreich,2238,2007,48,34014,78,15,2020-04-25T08:00:00
AT,Oberösterreich,2238,2021,51,34849,71,15,2020-04-25T09:30:00
AT,Oberösterreich,2239,2021,51,34849,71,15,2020-04-25T15:00:00
AT,Oberösterreich,2240,2021,51,34849,71,15,2020-04-26T08:00:00
AT,Oberösterreich,2240,2022,52,35501,67,14,2020-04-26T09:30:00
AT,Oberösterreich,2243,2022,52,35501,67,14,2020-04-26T15:00:00
AT,Oberösterreich,2246,2022,52,35501,67,14,2020-04-27T08:00:00
AT,Oberösterreich,2246,2022,53,36230,66,11,2020-04-27T09:30:00
AT,Oberösterreich,2248,2022,53,36230,66,11,2020-04-27T15:00:00
AT,Oberösterreich,2250,2022,53,36230,66,11,2020-04-28T08:00:00
AT,Oberösterreich,2250,2040,53,37146,60,14,2020-04-28T09:30:00
AT,Oberösterreich,2251,2040,53,37146,60,14,2020-04-28T15:00:00
AT,Oberösterreich,2251,2040,53,37146,60,14,2020-04-29T08:00:00
AT,Oberösterreich,2251,2051,55,38144,51,12,2020-04-29T09:30:00
AT,Oberösterreich,2252,2051,55,38144,51,12,2020-04-29T15:00:00
AT,Oberösterreich,2253,2051,55,38144,51,12,2020-04-30T08:00:00
AT,Oberösterreich,2253,2074,55,39188,45,12,2020-04-30T09:30:00
AT,Oberösterreich,2254,2074,55,39188,45,12,2020-04-30T15:00:00
AT,Oberösterreich,2255,2074,55,39188,45,12,2020-05-01T08:00:00
AT,Oberösterreich,2255,2088,56,40001,44,10,2020-05-01T09:30:00
AT,Oberösterreich,2255,2088,56,40001,44,10,2020-05-01T15:00:00
AT,Oberösterreich,2256,2088,56,40001,44,10,2020-05-02T08:00:00
AT,Oberösterreich,2256,2102,56,40747,42,8,2020-05-02T09:30:00
AT,Oberösterreich,2256,2102,56,40747,42,8,2020-05-02T15:00:00
AT,Oberösterreich,2256,2102,56,40747,42,8,2020-05-03T08:00:00
AT,Oberösterreich,2256,2106,57,41188,48,9,2020-05-03T09:30:00
AT,Oberösterreich,2257,2106,57,41188,48,9,2020-05-03T15:00:00
AT,Oberösterreich,2258,2106,57,41188,48,9,2020-05-04T08:00:00
AT,Oberösterreich,2258,2110,56,41843,40,8,2020-05-04T09:30:00
AT,Oberösterreich,2258,2110,56,41843,40,8,2020-05-04T15:00:00
AT,Oberösterreich,2259,2110,56,41843,40,8,2020-05-05T08:00:00
AT,Oberösterreich,2259,2115,57,42706,40,7,2020-05-05T09:30:00
AT,Oberösterreich,2258,2115,57,42706,40,7,2020-05-05T15:00:00
AT,Oberösterreich,2259,2115,57,42706,40,7,2020-05-06T08:00:00
AT,Oberösterreich,2259,2131,57,43698,36,6,2020-05-06T09:30:00
AT,Oberösterreich,2259,2131,57,43698,36,6,2020-05-06T15:00:00
AT,Oberösterreich,2263,2131,57,43698,36,6,2020-05-07T08:00:00
AT,Oberösterreich,2263,2139,57,44417,32,7,2020-05-07T09:30:00
AT,Oberösterreich,2263,2139,57,44417,32,7,2020-05-07T15:00:00
AT,Oberösterreich,2264,2139,57,44417,32,7,2020-05-08T08:00:00
AT,Oberösterreich,2264,2151,57,45271,28,4,2020-05-08T09:30:00
AT,Oberösterreich,2265,2151,57,45271,28,4,2020-05-08T15:00:00
AT,Oberösterreich,2266,2151,57,45271,28,4,2020-05-09T08:00:00
AT,Oberösterreich,2266,2160,58,46097,20,5,2020-05-09T09:30:00
AT,Oberösterreich,2267,2160,58,46097,20,5,2020-05-09T15:00:00
AT,Oberösterreich,2268,2160,58,46097,20,5,2020-05-10T08:00:00
AT,Oberösterreich,2268,2163,58,46687,19,6,2020-05-10T09:30:00
AT,Oberösterreich,2270,2163,58,46687,19,6,2020-05-10T15:00:00
AT,Oberösterreich,2269,2163,58,46687,19,6,2020-05-11T08:00:00
AT,Oberösterreich,2269,2169,58,47268,19,4,2020-05-11T09:30:00
AT,Oberösterreich,2266,2169,58,47268,19,4,2020-05-11T15:00:00
AT,Oberösterreich,2267,2169,58,47268,19,4,2020-05-12T08:00:00
AT,Oberösterreich,2267,2170,58,47935,20,3,2020-05-12T09:30:00
AT,Oberösterreich,2269,2170,58,47935,20,3,2020-05-12T15:00:00
AT,Oberösterreich,2268,2170,58,47935,20,3,2020-05-13T08:00:00
