country,name,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Salzburg,3,,,,,,2020-03-04T17:45:00
AT,Salzburg,3,,,,,,2020-03-05T08:00:00
AT,Salzburg,4,,,,,,2020-03-05T15:00:00
AT,Salzburg,4,,,,,,2020-03-06T08:00:00
AT,Salzburg,5,,,,,,2020-03-06T15:00:00
AT,Salzburg,5,,,,,,2020-03-07T08:00:00
AT,Salzburg,5,,,,,,2020-03-07T15:00:00
AT,Salzburg,7,,,,,,2020-03-08T08:00:00
AT,Salzburg,7,,,,,,2020-03-08T11:45:00
AT,Salzburg,8,,,,,,2020-03-08T15:00:00
AT,Salzburg,8,,,,,,2020-03-09T08:00:00
AT,Salzburg,9,,,,,,2020-03-09T15:00:00
AT,Salzburg,10,,,,,,2020-03-10T08:00:00
AT,Salzburg,12,,,,,,2020-03-10T15:00:00
AT,Salzburg,11,,,,,,2020-03-11T08:00:00
AT,Salzburg,14,,,,,,2020-03-11T15:00:00
AT,Salzburg,13,,,,,,2020-03-12T08:00:00
AT,Salzburg,19,,,,,,2020-03-12T15:00:00
AT,Salzburg,20,0,0,,,,2020-03-13T08:00:00
AT,Salzburg,28,0,0,,,,2020-03-14T08:00:00
AT,Salzburg,30,0,0,,,,2020-03-14T15:00:00
AT,Salzburg,39,0,0,,,,2020-03-15T08:00:00
AT,Salzburg,39,0,0,,,,2020-03-15T15:00:00
AT,Salzburg,54,0,0,,,,2020-03-16T08:00:00
AT,Salzburg,58,0,0,,,,2020-03-16T15:00:00
AT,Salzburg,66,0,0,,,,2020-03-17T08:00:00
AT,Salzburg,66,0,0,,,,2020-03-17T15:00:00
AT,Salzburg,80,0,0,,,,2020-03-18T08:00:00
AT,Salzburg,89,0,0,,,,2020-03-18T15:00:00
AT,Salzburg,110,0,0,,,,2020-03-19T08:00:00
AT,Salzburg,127,0,0,,,,2020-03-19T14:30:00
AT,Salzburg,147,0,0,,,,2020-03-20T08:00:00
AT,Salzburg,167,0,0,,,,2020-03-20T14:30:00
AT,Salzburg,167,0,0,,,,2020-03-20T15:00:00
AT,Salzburg,175,0,0,,,,2020-03-21T08:00:00
AT,Salzburg,185,0,0,,,,2020-03-21T15:00:00
AT,Salzburg,209,0,0,,,,2020-03-22T08:00:00
AT,Salzburg,269,0,0,,,,2020-03-22T15:00:00
AT,Salzburg,358,0,0,,,,2020-03-23T08:00:00
AT,Salzburg,372,0,0,,,,2020-03-23T15:00:00
AT,Salzburg,405,0,0,,,,2020-03-24T08:00:00
AT,Salzburg,429,0,0,,,,2020-03-24T15:00:00
AT,Salzburg,493,0,0,,,,2020-03-25T08:00:00
AT,Salzburg,516,0,0,,,,2020-03-25T15:00:00
AT,Salzburg,558,0,0,,,,2020-03-26T08:00:00
AT,Salzburg,558,0,0,,,,2020-03-26T09:00:00
AT,Salzburg,591,0,0,,,,2020-03-26T15:00:00
AT,Salzburg,679,,,,40,5,2020-03-27T08:00:00
AT,Salzburg,728,,,,48,10,2020-03-27T09:30:00
AT,Salzburg,794,,,,48,10,2020-03-28T08:00:00
AT,Salzburg,850,,,,53,12,2020-03-29T09:30:00
AT,Salzburg,910,,,,58,13,2020-03-30T09:30:00
AT,Salzburg,949,,,,63,9,2020-03-31T09:30:00
AT,Salzburg,993,,,,66,10,2020-04-01T10:00:00
AT,Salzburg,1033,,,,65,13,2020-04-02T09:30:00
AT,Salzburg,1058,,,,73,14,2020-04-03T09:30:00
AT,Salzburg,1068,,,,79,15,2020-04-04T09:30:00
AT,Salzburg,1077,,,,90,14,2020-04-05T09:30:00
AT,Salzburg,1085,,,,90,18,2020-04-06T09:30:00
AT,Salzburg,1119,,,,95,16,2020-04-07T09:30:00
AT,Salzburg,1129,,,,90,21,2020-04-08T10:00:00
AT,Salzburg,1146,,,,94,19,2020-04-09T10:30:00
AT,Salzburg,1154,,,,93,19,2020-04-10T10:00:00
AT,Salzburg,1157,,,,88,18,2020-04-11T09:30:00
AT,Salzburg,1169,,,,89,21,2020-04-12T09:30:00
AT,Salzburg,1174,,,,91,20,2020-04-13T09:30:00
AT,Salzburg,406,,,,101,20,2020-04-14T09:30:00
AT,Salzburg,1176,778,26,12837,97,19,2020-04-15T09:30:00
AT,Salzburg,1178,778,26,12837,97,19,2020-04-15T15:00:00
AT,Salzburg,1182,778,26,12837,97,19,2020-04-16T08:00:00
AT,Salzburg,1182,790,27,13288,88,15,2020-04-16T09:30:00
AT,Salzburg,1186,790,27,13288,88,15,2020-04-16T15:00:00
AT,Salzburg,1189,790,27,13288,88,15,2020-04-17T08:00:00
AT,Salzburg,1189,875,28,13659,96,19,2020-04-17T09:30:00
AT,Salzburg,1190,875,28,13659,96,19,2020-04-17T15:00:00
AT,Salzburg,1191,875,28,13659,96,19,2020-04-18T08:00:00
AT,Salzburg,1191,875,29,14085,91,17,2020-04-18T09:30:00
AT,Salzburg,1191,875,29,14085,91,17,2020-04-18T15:00:00
AT,Salzburg,1195,875,29,14085,91,17,2020-04-19T08:00:00
AT,Salzburg,1195,929,29,14386,88,16,2020-04-19T09:30:00
AT,Salzburg,1199,929,29,14386,88,16,2020-04-19T15:00:00
AT,Salzburg,1200,929,29,14386,88,16,2020-04-20T08:00:00
AT,Salzburg,1200,930,30,14691,92,17,2020-04-20T09:30:00
AT,Salzburg,1201,930,30,14691,92,17,2020-04-20T15:00:00
AT,Salzburg,1201,930,30,14691,92,17,2020-04-21T08:00:00
AT,Salzburg,1201,949,30,14944,94,15,2020-04-21T09:30:00
AT,Salzburg,1206,949,30,14944,94,15,2020-04-21T15:00:00
AT,Salzburg,1206,949,30,14944,94,15,2020-04-22T08:00:00
AT,Salzburg,1206,951,33,15447,105,13,2020-04-22T09:30:00
AT,Salzburg,1205,951,33,15447,105,13,2020-04-22T15:00:00
AT,Salzburg,1204,951,33,15447,105,13,2020-04-23T08:00:00
AT,Salzburg,1204,1008,33,15969,92,14,2020-04-23T09:30:00
AT,Salzburg,1206,1008,33,15969,92,14,2020-04-23T15:00:00
AT,Salzburg,1206,1008,33,15969,92,14,2020-04-24T08:00:00
AT,Salzburg,1206,1008,33,16674,90,12,2020-04-24T09:30:00
AT,Salzburg,1207,1008,33,16674,90,12,2020-04-24T15:00:00
AT,Salzburg,1208,1008,33,16674,90,12,2020-04-25T08:00:00
AT,Salzburg,1208,1041,33,17293,83,12,2020-04-25T09:30:00
AT,Salzburg,1210,1041,33,17293,83,12,2020-04-25T15:00:00
AT,Salzburg,1210,1041,33,17293,83,12,2020-04-26T08:00:00
AT,Salzburg,1210,1057,33,18171,79,11,2020-04-26T09:30:00
AT,Salzburg,1212,1057,33,18171,79,11,2020-04-26T15:00:00
AT,Salzburg,1214,1057,33,18171,79,11,2020-04-27T08:00:00
AT,Salzburg,1214,1071,33,18883,74,11,2020-04-27T09:30:00
AT,Salzburg,1214,1071,33,18883,74,11,2020-04-27T15:00:00
AT,Salzburg,1214,1071,33,18883,74,11,2020-04-28T08:00:00
AT,Salzburg,1214,1078,34,19348,75,10,2020-04-28T09:30:00
AT,Salzburg,1214,1078,34,19348,75,10,2020-04-28T15:00:00
AT,Salzburg,1215,1078,34,19348,75,10,2020-04-29T08:00:00
AT,Salzburg,1215,1081,35,20210,73,10,2020-04-29T09:30:00
AT,Salzburg,1215,1081,35,20210,73,10,2020-04-29T15:00:00
AT,Salzburg,1215,1081,35,20210,73,10,2020-04-30T08:00:00
AT,Salzburg,1215,1090,35,21585,73,9,2020-04-30T09:30:00
AT,Salzburg,1217,1090,35,21585,73,9,2020-04-30T15:00:00
AT,Salzburg,1217,1090,35,21585,73,9,2020-05-01T08:00:00
AT,Salzburg,1217,1102,36,22422,69,7,2020-05-01T09:30:00
AT,Salzburg,1217,1102,36,22422,69,7,2020-05-01T15:00:00
AT,Salzburg,1217,1102,36,22422,69,7,2020-05-02T08:00:00
AT,Salzburg,1217,1115,36,23075,52,7,2020-05-02T09:30:00
AT,Salzburg,1218,1115,36,23075,52,7,2020-05-02T15:00:00
AT,Salzburg,1219,1115,36,23075,52,7,2020-05-03T08:00:00
AT,Salzburg,1219,1115,36,24102,51,7,2020-05-03T09:30:00
AT,Salzburg,1219,1115,36,24102,51,7,2020-05-03T15:00:00
AT,Salzburg,1219,1115,36,24102,51,7,2020-05-04T08:00:00
AT,Salzburg,1219,1116,36,24613,60,7,2020-05-04T09:30:00
AT,Salzburg,1219,1116,36,24613,60,7,2020-05-04T15:00:00
AT,Salzburg,1217,1116,36,24613,60,7,2020-05-05T08:00:00
AT,Salzburg,1217,1119,36,25216,53,7,2020-05-05T09:30:00
AT,Salzburg,1214,1119,36,25216,53,7,2020-05-05T15:00:00
