country,name,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Steiermark,4,,,,,,2020-03-04T17:45:00
AT,Steiermark,4,,,,,,2020-03-05T08:00:00
AT,Steiermark,4,,,,,,2020-03-05T15:00:00
AT,Steiermark,4,,,,,,2020-03-06T08:00:00
AT,Steiermark,5,,,,,,2020-03-06T15:00:00
AT,Steiermark,6,,,,,,2020-03-07T08:00:00
AT,Steiermark,6,,,,,,2020-03-07T15:00:00
AT,Steiermark,8,,,,,,2020-03-08T08:00:00
AT,Steiermark,8,,,,,,2020-03-08T11:45:00
AT,Steiermark,10,,,,,,2020-03-08T15:00:00
AT,Steiermark,10,,,,,,2020-03-09T08:00:00
AT,Steiermark,16,,,,,,2020-03-09T15:00:00
AT,Steiermark,17,,,,,,2020-03-10T08:00:00
AT,Steiermark,17,,,,,,2020-03-10T15:00:00
AT,Steiermark,18,,,,,,2020-03-11T08:00:00
AT,Steiermark,25,,,,,,2020-03-11T15:00:00
AT,Steiermark,27,,,,,,2020-03-12T08:00:00
AT,Steiermark,33,,,,,,2020-03-12T15:00:00
AT,Steiermark,38,0,0,,,,2020-03-13T08:00:00
AT,Steiermark,52,0,0,,,,2020-03-13T15:00:00
AT,Steiermark,61,0,0,,,,2020-03-14T08:00:00
AT,Steiermark,71,0,0,,,,2020-03-14T15:00:00
AT,Steiermark,83,0,0,,,,2020-03-15T08:00:00
AT,Steiermark,111,0,0,,,,2020-03-15T15:00:00
AT,Steiermark,111,0,0,,,,2020-03-16T08:00:00
AT,Steiermark,139,0,0,,,,2020-03-16T15:00:00
AT,Steiermark,145,0,0,,,,2020-03-17T08:00:00
AT,Steiermark,171,0,0,,,,2020-03-17T15:00:00
AT,Steiermark,188,0,0,,,,2020-03-18T08:00:00
AT,Steiermark,220,0,0,,,,2020-03-18T15:00:00
AT,Steiermark,233,0,0,,,,2020-03-19T08:00:00
AT,Steiermark,282,0,0,,,,2020-03-19T14:30:00
AT,Steiermark,299,0,0,,,,2020-03-20T08:00:00
AT,Steiermark,340,0,0,,,,2020-03-20T14:30:00
AT,Steiermark,340,0,0,,,,2020-03-20T15:00:00
AT,Steiermark,350,0,0,,,,2020-03-21T08:00:00
AT,Steiermark,388,0,0,,,,2020-03-21T15:00:00
AT,Steiermark,393,0,0,,,,2020-03-22T08:00:00
AT,Steiermark,423,0,0,,,,2020-03-22T15:00:00
AT,Steiermark,447,0,0,,,,2020-03-23T08:00:00
AT,Steiermark,486,0,0,,,,2020-03-23T15:00:00
AT,Steiermark,504,0,0,,,,2020-03-24T08:00:00
AT,Steiermark,558,0,0,,,,2020-03-24T15:00:00
AT,Steiermark,585,0,0,,,,2020-03-25T08:00:00
AT,Steiermark,627,0,0,,,,2020-03-25T15:00:00
AT,Steiermark,633,0,0,,,,2020-03-26T08:00:00
AT,Steiermark,626,0,0,,,,2020-03-26T09:00:00
AT,Steiermark,699,0,0,,,,2020-03-26T15:00:00
AT,Steiermark,753,,,,164,19,2020-03-27T08:00:00
AT,Steiermark,812,,,,179,16,2020-03-27T09:30:00
AT,Steiermark,873,,,,125,23,2020-03-28T08:00:00
AT,Steiermark,929,,,,142,24,2020-03-29T09:30:00
AT,Steiermark,1022,,,,147,19,2020-03-30T09:30:00
AT,Steiermark,1085,,,,149,24,2020-03-31T09:30:00
AT,Steiermark,1135,,,,165,27,2020-04-01T10:00:00
AT,Steiermark,1169,,,,149,28,2020-04-02T09:30:00
AT,Steiermark,1234,,,,164,30,2020-04-03T09:30:00
AT,Steiermark,1285,,,,160,34,2020-04-04T09:30:00
AT,Steiermark,1312,,,,138,28,2020-04-05T09:30:00
AT,Steiermark,1354,,,,155,30,2020-04-06T09:30:00
AT,Steiermark,1399,,,,166,29,2020-04-07T09:30:00
AT,Steiermark,1435,,,,176,33,2020-04-08T10:00:00
AT,Steiermark,1470,,,,172,31,2020-04-09T10:30:00
AT,Steiermark,1499,,,,163,32,2020-04-10T10:00:00
AT,Steiermark,1525,,,,149,33,2020-04-11T09:30:00
AT,Steiermark,1553,,,,154,32,2020-04-12T09:30:00
AT,Steiermark,1578,,,,146,31,2020-04-13T09:30:00
AT,Steiermark,951,,,,141,28,2020-04-14T09:30:00
AT,Steiermark,1593,617,90,16225,142,24,2020-04-15T09:30:00
AT,Steiermark,1600,617,90,16225,142,24,2020-04-15T15:00:00
AT,Steiermark,1604,617,90,16225,142,24,2020-04-16T08:00:00
AT,Steiermark,1604,661,93,16996,141,21,2020-04-16T09:30:00
AT,Steiermark,1617,661,93,16996,141,21,2020-04-16T15:00:00
AT,Steiermark,1624,661,93,16996,141,21,2020-04-17T08:00:00
AT,Steiermark,1624,717,97,17998,134,22,2020-04-17T09:30:00
AT,Steiermark,1631,717,97,17998,134,22,2020-04-17T15:00:00
AT,Steiermark,1638,717,97,17998,134,22,2020-04-18T08:00:00
AT,Steiermark,1638,775,99,19036,118,20,2020-04-18T09:30:00
