country,name,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Tirol,2,,,,,,2020-03-04T17:45:00
AT,Tirol,2,,,,,,2020-03-05T08:00:00
AT,Tirol,3,,,,,,2020-03-05T15:00:00
AT,Tirol,4,,,,,,2020-03-06T08:00:00
AT,Tirol,4,,,,,,2020-03-06T15:00:00
AT,Tirol,7,,,,,,2020-03-07T08:00:00
AT,Tirol,7,,,,,,2020-03-07T15:00:00
AT,Tirol,8,,,,,,2020-03-08T08:00:00
AT,Tirol,8,,,,,,2020-03-08T11:45:00
AT,Tirol,8,,,,,,2020-03-08T15:00:00
AT,Tirol,9,,,,,,2020-03-09T08:00:00
AT,Tirol,16,,,,,,2020-03-09T15:00:00
AT,Tirol,27,,,,,,2020-03-10T08:00:00
AT,Tirol,32,,,,,,2020-03-10T15:00:00
AT,Tirol,37,,,,,,2020-03-11T08:00:00
AT,Tirol,57,,,,,,2020-03-11T15:00:00
AT,Tirol,81,,,,,,2020-03-12T08:00:00
AT,Tirol,109,,,,,,2020-03-12T15:00:00
AT,Tirol,132,2,0,,,,2020-03-13T08:00:00
AT,Tirol,167,2,0,,,,2020-03-13T15:00:00
AT,Tirol,206,2,0,,,,2020-03-14T08:00:00
AT,Tirol,206,2,0,,,,2020-03-14T15:00:00
AT,Tirol,245,2,0,,,,2020-03-15T08:00:00
AT,Tirol,254,2,0,,,,2020-03-15T15:00:00
AT,Tirol,254,2,0,,,,2020-03-16T08:00:00
AT,Tirol,254,2,0,,,,2020-03-16T15:00:00
AT,Tirol,275,2,0,,,,2020-03-17T08:00:00
AT,Tirol,328,2,0,,,,2020-03-17T15:00:00
AT,Tirol,352,2,0,,,,2020-03-18T08:00:00
AT,Tirol,382,2,0,,,,2020-03-18T15:00:00
AT,Tirol,437,2,0,,,,2020-03-19T08:00:00
AT,Tirol,464,2,0,,,,2020-03-19T14:30:00
AT,Tirol,490,2,0,,,,2020-03-20T08:00:00
AT,Tirol,508,2,0,,,,2020-03-20T14:30:00
AT,Tirol,508,2,0,,,,2020-03-20T15:00:00
AT,Tirol,568,2,0,,,,2020-03-21T08:00:00
AT,Tirol,575,2,0,,,,2020-03-21T15:00:00
AT,Tirol,626,2,0,,,,2020-03-22T08:00:00
AT,Tirol,644,2,0,,,,2020-03-22T15:00:00
AT,Tirol,676,2,0,,,,2020-03-23T08:00:00
AT,Tirol,803,0,0,,,,2020-03-23T15:00:00
AT,Tirol,1749,,,,122,26,2020-03-27T08:00:00
AT,Tirol,1801,,,,166,38,2020-03-27T09:30:00
AT,Tirol,1934,,,,166,38,2020-03-28T08:00:00
AT,Tirol,2147,,,,185,42,2020-03-29T09:30:00
AT,Tirol,2261,,,,198,50,2020-03-30T09:30:00
AT,Tirol,2401,,,,213,57,2020-03-31T09:30:00
AT,Tirol,2511,,,,213,57,2020-04-01T10:00:00
AT,Tirol,2575,,,,215,56,2020-04-02T09:30:00
AT,Tirol,2645,,,,209,55,2020-04-03T09:30:00
AT,Tirol,2693,,,,210,54,2020-04-04T09:30:00
AT,Tirol,2756,,,,196,54,2020-04-05T09:30:00
AT,Tirol,2804,,,,200,59,2020-04-06T09:30:00
AT,Tirol,2870,,,,215,59,2020-04-07T09:30:00
AT,Tirol,2946,,,,197,65,2020-04-08T10:00:00
AT,Tirol,3086,,,,188,65,2020-04-09T10:30:00
AT,Tirol,3225,,,,183,61,2020-04-10T10:00:00
AT,Tirol,3269,,,,179,63,2020-04-11T09:30:00
AT,Tirol,3283,,,,174,61,2020-04-12T09:30:00
AT,Tirol,3317,,,,160,57,2020-04-13T09:30:00
AT,Tirol,1211,,,,160,56,2020-04-14T09:30:00
AT,Tirol,3337,2134,72,37091,164,55,2020-04-15T09:30:00
AT,Tirol,3352,2134,72,37091,164,55,2020-04-15T15:00:00
AT,Tirol,3362,2134,72,37091,164,55,2020-04-16T08:00:00
AT,Tirol,3362,2244,80,38388,144,54,2020-04-16T09:30:00
AT,Tirol,3392,2244,80,38388,144,54,2020-04-16T15:00:00
AT,Tirol,3394,2244,80,38388,144,54,2020-04-17T08:00:00
AT,Tirol,3394,2374,83,39722,135,54,2020-04-17T09:30:00
AT,Tirol,3406,2374,83,39722,135,54,2020-04-17T15:00:00
AT,Tirol,3407,2374,83,39722,135,54,2020-04-18T08:00:00
AT,Tirol,3407,2486,85,40884,125,51,2020-04-18T09:30:00
AT,Tirol,3415,2486,85,40884,125,51,2020-04-18T15:00:00
AT,Tirol,3418,2486,85,40884,125,51,2020-04-19T08:00:00
AT,Tirol,3418,2526,85,42019,112,49,2020-04-19T09:30:00
AT,Tirol,3417,2526,85,42019,112,49,2020-04-19T15:00:00
AT,Tirol,3425,2526,85,42019,112,49,2020-04-20T08:00:00
AT,Tirol,3425,2556,86,42813,114,44,2020-04-20T09:30:00
AT,Tirol,3427,2556,86,42813,114,44,2020-04-20T15:00:00
AT,Tirol,3431,2556,86,42813,114,44,2020-04-21T08:00:00
AT,Tirol,3431,2698,91,43731,111,44,2020-04-21T09:30:00
AT,Tirol,3433,2698,91,43731,111,44,2020-04-21T15:00:00
AT,Tirol,3437,2698,91,43731,111,44,2020-04-22T08:00:00
AT,Tirol,3437,2869,95,44902,96,40,2020-04-22T09:30:00
AT,Tirol,3440,2869,95,44902,96,40,2020-04-22T15:00:00
AT,Tirol,3441,2869,95,44902,96,40,2020-04-23T08:00:00
AT,Tirol,3441,2905,98,46349,91,38,2020-04-23T09:30:00
AT,Tirol,3445,2905,98,46349,91,38,2020-04-23T15:00:00
AT,Tirol,3446,2905,98,46349,91,38,2020-04-24T08:00:00
AT,Tirol,3446,2943,101,47235,81,36,2020-04-24T09:30:00
AT,Tirol,3457,2943,101,47235,81,36,2020-04-24T15:00:00
AT,Tirol,3463,2943,101,47235,81,36,2020-04-25T08:00:00
AT,Tirol,3463,2982,101,48093,77,34,2020-04-25T09:30:00
AT,Tirol,3469,2982,101,48093,77,34,2020-04-25T15:00:00
AT,Tirol,3473,2982,101,48093,77,34,2020-04-26T08:00:00
AT,Tirol,3473,2997,101,48412,75,32,2020-04-26T09:30:00
AT,Tirol,3479,2997,101,48412,75,32,2020-04-26T15:00:00
AT,Tirol,3482,2997,101,48412,75,32,2020-04-27T08:00:00
AT,Tirol,3482,3024,101,48674,74,33,2020-04-27T09:30:00
AT,Tirol,3484,3024,101,48674,74,33,2020-04-27T15:00:00
AT,Tirol,3487,3024,101,48674,74,33,2020-04-28T08:00:00
AT,Tirol,3487,3070,103,49393,72,32,2020-04-28T09:30:00
AT,Tirol,3494,3070,103,49393,72,32,2020-04-28T15:00:00
AT,Tirol,3496,3070,103,49393,72,32,2020-04-29T08:00:00
AT,Tirol,3496,3151,105,50269,62,28,2020-04-29T09:30:00
AT,Tirol,3496,3151,105,50269,62,28,2020-04-29T15:00:00
AT,Tirol,3501,3151,105,50269,62,28,2020-04-30T08:00:00
AT,Tirol,3501,3160,105,51310,60,28,2020-04-30T09:30:00
AT,Tirol,3502,3160,105,51310,60,28,2020-04-30T15:00:00
AT,Tirol,3504,3160,105,51310,60,28,2020-05-01T08:00:00
AT,Tirol,3504,3197,105,52504,52,27,2020-05-01T09:30:00
AT,Tirol,3504,3197,105,52504,52,27,2020-05-01T15:00:00
AT,Tirol,3504,3197,105,52504,52,27,2020-05-02T08:00:00
AT,Tirol,3504,3207,105,52934,48,24,2020-05-02T09:30:00
AT,Tirol,3504,3207,105,52934,48,24,2020-05-02T15:00:00
AT,Tirol,3504,3207,105,52934,48,24,2020-05-03T08:00:00
AT,Tirol,3504,3215,105,53261,50,25,2020-05-03T09:30:00
AT,Tirol,3504,3215,105,53261,50,25,2020-05-03T15:00:00
AT,Tirol,3509,3215,105,53261,50,25,2020-05-04T08:00:00
AT,Tirol,3509,3217,105,53512,49,25,2020-05-04T09:30:00
AT,Tirol,3509,3217,105,53512,49,25,2020-05-04T15:00:00
AT,Tirol,3510,3217,105,53512,49,25,2020-05-05T08:00:00
AT,Tirol,3510,3244,105,54720,43,21,2020-05-05T09:30:00
AT,Tirol,3509,3244,105,54720,43,21,2020-05-05T15:00:00
AT,Tirol,3510,3244,105,54720,43,21,2020-05-06T08:00:00
AT,Tirol,3510,3271,106,55574,37,19,2020-05-06T09:30:00
AT,Tirol,3512,3271,106,55574,37,19,2020-05-06T15:00:00
AT,Tirol,3513,3271,106,55574,37,19,2020-05-07T08:00:00
AT,Tirol,3513,3275,106,56188,30,17,2020-05-07T09:30:00
AT,Tirol,3515,3275,106,56188,30,17,2020-05-07T15:00:00
AT,Tirol,3516,3275,106,56188,30,17,2020-05-08T08:00:00
AT,Tirol,3516,3284,107,57044,29,14,2020-05-08T09:30:00
AT,Tirol,3517,3284,107,57044,29,14,2020-05-08T15:00:00
AT,Tirol,3517,3284,107,57044,29,14,2020-05-09T08:00:00
AT,Tirol,3517,3310,107,58452,39,18,2020-05-09T09:30:00
AT,Tirol,3518,3310,107,58452,39,18,2020-05-09T15:00:00
AT,Tirol,3518,3310,107,58452,39,18,2020-05-10T08:00:00
AT,Tirol,3518,3317,107,58904,33,15,2020-05-10T09:30:00
AT,Tirol,3518,3317,107,58904,33,15,2020-05-10T15:00:00
AT,Tirol,3518,3317,107,58904,33,15,2020-05-11T08:00:00
AT,Tirol,3518,3317,107,59430,29,13,2020-05-11T09:30:00
AT,Tirol,3518,3317,107,59430,29,13,2020-05-11T15:00:00
AT,Tirol,3518,3317,107,59430,29,13,2020-05-12T08:00:00
AT,Tirol,3518,3329,107,61255,26,12,2020-05-12T09:30:00
AT,Tirol,3518,3329,107,61255,26,12,2020-05-12T15:00:00
AT,Tirol,3518,3329,107,61255,26,12,2020-05-13T08:00:00
AT,Tirol,3518,3349,107,62847,22,9,2020-05-13T09:30:00
AT,Tirol,3520,3349,107,62847,22,9,2020-05-13T15:00:00
AT,Tirol,3523,3349,107,62847,22,9,2020-05-14T08:00:00
AT,Tirol,3523,3360,107,64061,21,9,2020-05-14T09:30:00
AT,Tirol,3524,3360,107,64061,21,9,2020-05-14T15:00:00
AT,Tirol,3526,3360,107,64061,21,9,2020-05-15T08:00:00
AT,Tirol,3526,3370,107,64844,21,8,2020-05-15T09:30:00
AT,Tirol,3528,3370,107,64844,21,8,2020-05-15T15:00:00
AT,Tirol,3528,3370,107,64844,21,8,2020-05-16T08:00:00
AT,Tirol,3528,3373,107,65619,20,9,2020-05-16T09:30:00
AT,Tirol,3528,3373,107,65619,20,9,2020-05-16T15:00:00
AT,Tirol,3528,3373,107,65619,20,9,2020-05-17T08:00:00
AT,Tirol,3528,3382,107,65989,17,7,2020-05-17T09:30:00
AT,Tirol,3528,3382,107,65989,17,7,2020-05-17T15:00:00
AT,Tirol,3529,3382,107,65989,17,7,2020-05-18T08:00:00
AT,Tirol,3529,3383,107,66285,18,6,2020-05-18T09:30:00
AT,Tirol,3530,3383,107,66285,18,6,2020-05-18T15:00:00
AT,Tirol,3530,3383,107,66285,18,6,2020-05-19T08:00:00
AT,Tirol,3530,3385,107,66854,18,5,2020-05-19T09:30:00
AT,Tirol,3532,3385,107,66854,18,5,2020-05-19T15:00:00
AT,Tirol,3532,3385,107,66854,18,5,2020-05-20T08:00:00
AT,Tirol,3532,3393,107,67391,15,6,2020-05-20T09:30:00
AT,Tirol,3532,3393,107,67391,15,6,2020-05-20T15:00:00
AT,Tirol,3534,3393,107,67391,15,6,2020-05-21T08:00:00
AT,Tirol,3534,3395,107,67834,14,4,2020-05-21T09:00:00
AT,Tirol,3534,3395,107,67834,14,4,2020-05-21T15:00:00
AT,Tirol,3534,3395,107,67834,14,4,2020-05-22T08:00:00
AT,Tirol,3534,3396,107,68390,12,3,2020-05-22T09:00:00
AT,Tirol,3534,3396,107,68390,12,3,2020-05-22T15:00:00
AT,Tirol,3535,3396,108,68790,12,3,2020-05-23T09:30:00
AT,Tirol,3536,3396,108,68790,12,3,2020-05-23T15:00:00
AT,Tirol,3536,3396,108,68790,12,3,2020-05-24T08:00:00
AT,Tirol,3536,3398,108,69231,13,4,2020-05-24T09:30:00
AT,Tirol,3536,3398,108,69231,13,4,2020-05-24T15:00:00
AT,Tirol,3536,3398,108,69231,13,4,2020-05-25T08:00:00
AT,Tirol,3536,3399,108,69519,13,4,2020-05-25T09:30:00
AT,Tirol,3535,3399,108,69519,13,4,2020-05-25T15:00:00
AT,Tirol,3535,3399,108,69519,13,4,2020-05-26T08:00:00
AT,Tirol,3535,3404,108,70096,12,4,2020-05-26T09:30:00
AT,Tirol,3534,3404,108,70096,12,4,2020-05-26T15:00:00
AT,Tirol,3536,3404,108,70096,12,4,2020-05-27T08:00:00
AT,Tirol,3536,3405,108,70667,11,4,2020-05-27T15:00:00
AT,Tirol,3537,3405,108,70667,11,4,2020-05-28T08:00:00
AT,Tirol,3537,3412,108,71706,10,4,2020-05-28T09:30:00
AT,Tirol,3536,3412,108,71706,10,4,2020-05-28T15:00:00
AT,Tirol,3537,3412,108,71706,10,4,2020-05-29T08:00:00
AT,Tirol,3537,3416,108,72349,12,3,2020-05-29T09:30:00
AT,Tirol,3537,3416,108,72349,12,3,2020-05-29T15:00:00
AT,Tirol,3537,3416,108,72349,12,3,2020-05-30T08:00:00
AT,Tirol,3537,3419,108,72770,12,3,2020-05-30T09:30:00
AT,Tirol,3537,3419,108,72770,12,3,2020-05-30T18:00:00
AT,Tirol,3537,3419,108,72770,12,3,2020-05-31T08:30:00
AT,Tirol,3537,3420,108,73319,7,3,2020-05-31T09:30:00
AT,Tirol,3537,3420,108,73319,7,3,2020-05-31T15:30:00
AT,Tirol,3537,3420,108,73319,7,3,2020-06-01T08:00:00
AT,Tirol,3537,3420,108,73515,7,3,2020-06-01T09:30:00
AT,Tirol,3537,3420,108,73515,7,3,2020-06-01T15:00:00
