country,name,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Vorarlberg,1,,,,,,2020-03-06T08:00:00
AT,Vorarlberg,1,,,,,,2020-03-06T15:00:00
AT,Vorarlberg,1,,,,,,2020-03-07T08:00:00
AT,Vorarlberg,1,,,,,,2020-03-07T15:00:00
AT,Vorarlberg,1,,,,,,2020-03-08T08:00:00
AT,Vorarlberg,1,,,,,,2020-03-08T11:45:00
AT,Vorarlberg,1,,,,,,2020-03-08T15:00:00
AT,Vorarlberg,2,,,,,,2020-03-09T08:00:00
AT,Vorarlberg,3,,,,,,2020-03-09T15:00:00
AT,Vorarlberg,3,,,,,,2020-03-10T08:00:00
AT,Vorarlberg,11,,,,,,2020-03-10T15:00:00
AT,Vorarlberg,12,,,,,,2020-03-11T08:00:00
AT,Vorarlberg,13,,,,,,2020-03-11T15:00:00
AT,Vorarlberg,15,,,,,,2020-03-12T08:00:00
AT,Vorarlberg,16,,,,,,2020-03-12T15:00:00
AT,Vorarlberg,17,0,0,,,,2020-03-13T08:00:00
AT,Vorarlberg,22,0,0,,,,2020-03-13T15:00:00
AT,Vorarlberg,26,0,0,,,,2020-03-14T08:00:00
AT,Vorarlberg,34,0,0,,,,2020-03-14T15:00:00
AT,Vorarlberg,39,0,0,,,,2020-03-15T08:00:00
AT,Vorarlberg,48,0,0,,,,2020-03-15T15:00:00
AT,Vorarlberg,55,0,0,,,,2020-03-16T08:00:00
AT,Vorarlberg,55,0,0,,,,2020-03-16T15:00:00
AT,Vorarlberg,91,0,0,,,,2020-03-17T08:00:00
AT,Vorarlberg,99,0,0,,,,2020-03-17T15:00:00
AT,Vorarlberg,107,0,0,,,,2020-03-18T08:00:00
AT,Vorarlberg,124,0,0,,,,2020-03-18T15:00:00
AT,Vorarlberg,138,0,0,,,,2020-03-19T08:00:00
AT,Vorarlberg,151,0,0,,,,2020-03-19T14:30:00
AT,Vorarlberg,179,0,0,,,,2020-03-20T08:00:00
AT,Vorarlberg,197,0,0,,,,2020-03-20T14:30:00
AT,Vorarlberg,197,0,0,,,,2020-03-20T15:00:00
AT,Vorarlberg,215,0,0,,,,2020-03-21T08:00:00
AT,Vorarlberg,228,0,0,,,,2020-03-21T15:00:00
AT,Vorarlberg,249,0,0,,,,2020-03-22T08:00:00
AT,Vorarlberg,263,0,0,,,,2020-03-22T15:00:00
AT,Vorarlberg,294,0,0,,,,2020-03-23T08:00:00
AT,Vorarlberg,323,0,0,,,,2020-03-23T15:00:00
AT,Vorarlberg,354,0,0,,,,2020-03-24T08:00:00
AT,Vorarlberg,379,0,0,,,,2020-03-24T15:00:00
AT,Vorarlberg,404,0,0,,,,2020-03-25T08:00:00
AT,Vorarlberg,407,0,0,,,,2020-03-25T15:00:00
AT,Vorarlberg,422,0,0,,,,2020-03-26T08:00:00
AT,Vorarlberg,422,0,0,,,,2020-03-26T09:00:00
AT,Vorarlberg,435,0,0,,,,2020-03-26T15:00:00
AT,Vorarlberg,478,,,,29,10,2020-03-27T08:00:00
AT,Vorarlberg,535,,,,36,10,2020-03-27T09:30:00
AT,Vorarlberg,577,,,,36,10,2020-03-28T08:00:00
AT,Vorarlberg,610,,,,45,13,2020-03-29T09:30:00
AT,Vorarlberg,632,,,,49,13,2020-03-30T09:30:00
AT,Vorarlberg,666,,,,62,12,2020-03-31T09:30:00
AT,Vorarlberg,680,,,,51,12,2020-04-01T10:00:00
AT,Vorarlberg,697,,,,51,12,2020-04-02T09:30:00
AT,Vorarlberg,718,,,,51,12,2020-04-03T09:30:00
AT,Vorarlberg,722,,,,47,12,2020-04-04T09:30:00
AT,Vorarlberg,746,,,,45,12,2020-04-05T09:30:00
AT,Vorarlberg,764,,,,43,11,2020-04-06T09:30:00
AT,Vorarlberg,791,,,,43,11,2020-04-07T09:30:00
AT,Vorarlberg,797,,,,40,11,2020-04-08T10:00:00
AT,Vorarlberg,805,,,,40,11,2020-04-09T10:30:00
AT,Vorarlberg,820,,,,38,11,2020-04-10T10:00:00
AT,Vorarlberg,826,,,,38,11,2020-04-11T09:30:00
AT,Vorarlberg,831,,,,37,10,2020-04-12T09:30:00
AT,Vorarlberg,832,,,,32,10,2020-04-13T09:30:00
AT,Vorarlberg,213,,,,33,10,2020-04-14T09:30:00
AT,Vorarlberg,846,646,7,6734,33,10,2020-04-15T09:30:00
AT,Vorarlberg,847,646,7,6734,33,10,2020-04-15T15:00:00
AT,Vorarlberg,851,646,7,6734,33,10,2020-04-16T08:00:00
AT,Vorarlberg,851,654,7,6887,29,11,2020-04-16T09:30:00
AT,Vorarlberg,852,654,7,6887,29,11,2020-04-16T15:00:00
AT,Vorarlberg,853,654,7,6887,29,11,2020-04-17T08:00:00
AT,Vorarlberg,853,665,8,6998,23,10,2020-04-17T09:30:00
AT,Vorarlberg,854,665,8,6998,23,10,2020-04-17T15:00:00
AT,Vorarlberg,855,665,8,6998,23,10,2020-04-18T08:00:00
AT,Vorarlberg,855,668,9,7193,23,8,2020-04-18T09:30:00
AT,Vorarlberg,855,668,9,7193,23,8,2020-04-18T15:00:00
AT,Vorarlberg,857,668,9,7193,23,8,2020-04-19T08:00:00
AT,Vorarlberg,857,715,9,7400,19,7,2020-04-19T09:30:00
AT,Vorarlberg,858,715,9,7400,19,7,2020-04-19T15:00:00
AT,Vorarlberg,858,715,9,7400,19,7,2020-04-20T08:00:00
AT,Vorarlberg,858,731,10,7626,18,7,2020-04-20T09:30:00
AT,Vorarlberg,859,731,10,7626,18,7,2020-04-20T15:00:00
AT,Vorarlberg,861,731,10,7626,18,7,2020-04-21T08:00:00
AT,Vorarlberg,861,733,13,7959,17,6,2020-04-21T09:30:00
AT,Vorarlberg,863,733,13,7959,17,6,2020-04-21T15:00:00
AT,Vorarlberg,863,733,13,7959,17,6,2020-04-22T08:00:00
AT,Vorarlberg,863,740,13,8384,18,7,2020-04-22T09:30:00
AT,Vorarlberg,868,740,13,8384,18,7,2020-04-22T15:00:00
AT,Vorarlberg,868,740,13,8384,18,7,2020-04-23T08:00:00
AT,Vorarlberg,868,745,14,8656,16,6,2020-04-23T09:30:00
AT,Vorarlberg,869,745,14,8656,16,6,2020-04-23T15:00:00
AT,Vorarlberg,869,745,14,8656,16,6,2020-04-24T08:00:00
AT,Vorarlberg,869,749,14,8989,14,6,2020-04-24T09:30:00
AT,Vorarlberg,868,749,14,8989,14,6,2020-04-24T15:00:00
AT,Vorarlberg,868,749,14,8989,14,6,2020-04-25T08:00:00
AT,Vorarlberg,868,755,14,9396,12,6,2020-04-25T09:30:00
AT,Vorarlberg,868,755,14,9396,12,6,2020-04-25T15:00:00
AT,Vorarlberg,868,755,14,9396,12,6,2020-04-26T08:00:00
AT,Vorarlberg,868,757,14,9856,12,6,2020-04-26T09:30:00
AT,Vorarlberg,868,757,14,9856,12,6,2020-04-26T15:00:00
AT,Vorarlberg,868,757,14,9856,12,6,2020-04-27T08:00:00
AT,Vorarlberg,868,759,15,10219,11,5,2020-04-27T09:30:00
AT,Vorarlberg,868,759,15,10219,11,5,2020-04-27T15:00:00
AT,Vorarlberg,868,759,15,10219,11,5,2020-04-28T08:00:00
AT,Vorarlberg,868,779,15,10362,11,5,2020-04-28T09:30:00
AT,Vorarlberg,869,779,15,10362,11,5,2020-04-28T15:00:00
AT,Vorarlberg,869,779,15,10362,11,5,2020-04-29T08:00:00
AT,Vorarlberg,869,786,15,10811,9,5,2020-04-29T09:30:00
AT,Vorarlberg,870,786,15,10811,9,5,2020-04-29T15:00:00
AT,Vorarlberg,870,786,15,10811,9,5,2020-04-30T08:00:00
AT,Vorarlberg,870,795,16,11165,7,5,2020-04-30T09:30:00
AT,Vorarlberg,871,795,16,11165,7,5,2020-04-30T15:00:00
AT,Vorarlberg,871,795,16,11165,7,5,2020-05-01T08:00:00
AT,Vorarlberg,871,811,17,11719,7,4,2020-05-01T09:30:00
AT,Vorarlberg,872,811,17,11719,7,4,2020-05-01T15:00:00
AT,Vorarlberg,872,811,17,11719,7,4,2020-05-02T08:00:00
AT,Vorarlberg,872,819,17,12374,7,4,2020-05-02T09:30:00
AT,Vorarlberg,872,819,17,12374,7,4,2020-05-02T15:00:00
AT,Vorarlberg,873,819,17,12374,7,4,2020-05-03T08:00:00
AT,Vorarlberg,873,824,17,12783,7,4,2020-05-03T09:30:00
AT,Vorarlberg,873,824,17,12783,7,4,2020-05-03T15:00:00
AT,Vorarlberg,874,824,17,12783,7,4,2020-05-04T08:00:00
AT,Vorarlberg,874,824,17,13040,7,4,2020-05-04T09:30:00
AT,Vorarlberg,874,824,17,13040,7,4,2020-05-04T15:00:00
AT,Vorarlberg,874,824,17,13040,7,4,2020-05-05T08:00:00
AT,Vorarlberg,874,828,18,13156,8,4,2020-05-05T09:30:00
AT,Vorarlberg,874,828,18,13156,8,4,2020-05-05T15:00:00
AT,Vorarlberg,875,828,18,13156,8,4,2020-05-06T08:00:00
AT,Vorarlberg,875,826,19,13324,7,4,2020-05-06T09:30:00
AT,Vorarlberg,875,826,19,13324,7,4,2020-05-06T15:00:00
AT,Vorarlberg,875,826,19,13324,7,4,2020-05-07T08:00:00
AT,Vorarlberg,875,833,19,13794,6,3,2020-05-07T09:30:00
AT,Vorarlberg,875,833,19,13794,6,3,2020-05-07T15:00:00
AT,Vorarlberg,875,833,19,13794,6,3,2020-05-08T08:00:00
AT,Vorarlberg,875,835,19,14274,3,2,2020-05-08T09:30:00
AT,Vorarlberg,874,835,19,14274,3,2,2020-05-08T15:00:00
AT,Vorarlberg,876,835,19,14274,3,2,2020-05-09T08:00:00
AT,Vorarlberg,876,838,19,15160,2,1,2020-05-09T09:30:00
AT,Vorarlberg,876,838,19,15160,2,1,2020-05-09T15:00:00
AT,Vorarlberg,876,838,19,15160,2,1,2020-05-10T08:00:00
AT,Vorarlberg,876,839,19,15886,2,1,2020-05-10T09:30:00
AT,Vorarlberg,876,839,19,15886,2,1,2020-05-10T15:00:00
AT,Vorarlberg,877,839,19,15886,2,1,2020-05-11T08:00:00
AT,Vorarlberg,877,839,19,15886,2,1,2020-05-11T09:30:00
AT,Vorarlberg,876,839,19,15886,2,1,2020-05-11T15:00:00
AT,Vorarlberg,879,839,19,15886,2,1,2020-05-12T08:00:00
AT,Vorarlberg,879,843,19,16146,2,1,2020-05-12T09:30:00
AT,Vorarlberg,879,843,19,16146,2,1,2020-05-12T15:00:00
AT,Vorarlberg,882,843,19,16146,2,1,2020-05-13T08:00:00
AT,Vorarlberg,882,847,19,16463,0,0,2020-05-13T09:30:00
AT,Vorarlberg,882,847,19,16463,0,0,2020-05-13T15:00:00
AT,Vorarlberg,882,847,19,16463,0,0,2020-05-14T08:00:00
AT,Vorarlberg,882,856,19,16748,0,0,2020-05-14T09:30:00
AT,Vorarlberg,883,856,19,16748,0,0,2020-05-14T15:00:00
AT,Vorarlberg,883,856,19,16748,0,0,2020-05-15T08:00:00
AT,Vorarlberg,883,856,19,17136,0,0,2020-05-15T09:30:00
AT,Vorarlberg,883,856,19,17136,0,0,2020-05-15T15:00:00
AT,Vorarlberg,884,856,19,17136,0,0,2020-05-16T08:00:00
AT,Vorarlberg,884,856,19,17398,0,0,2020-05-16T09:30:00
AT,Vorarlberg,885,856,19,17398,0,0,2020-05-16T15:00:00
AT,Vorarlberg,885,856,19,17398,0,0,2020-05-17T08:00:00
AT,Vorarlberg,885,856,19,17809,0,0,2020-05-17T09:30:00
AT,Vorarlberg,887,856,19,17809,0,0,2020-05-17T15:00:00
AT,Vorarlberg,887,856,19,17809,0,0,2020-05-18T08:00:00
AT,Vorarlberg,887,856,19,17898,0,0,2020-05-18T09:30:00
AT,Vorarlberg,887,856,19,17898,0,0,2020-05-18T15:00:00
AT,Vorarlberg,887,856,19,17898,0,0,2020-05-19T08:00:00
AT,Vorarlberg,887,859,19,18104,1,0,2020-05-19T09:30:00
AT,Vorarlberg,893,859,19,18104,1,0,2020-05-19T15:00:00
