country,name,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Wien,15,,,,,,2020-03-04T17:45:00
AT,Wien,16,,,,,,2020-03-05T08:00:00
AT,Wien,16,,,,,,2020-03-05T15:00:00
AT,Wien,17,,,,,,2020-03-06T08:00:00
AT,Wien,23,,,,,,2020-03-06T15:00:00
AT,Wien,23,,,,,,2020-03-07T08:00:00
AT,Wien,28,,,,,,2020-03-07T15:00:00
AT,Wien,32,,,,,,2020-03-08T08:00:00
AT,Wien,32,,,,,,2020-03-08T11:45:00
AT,Wien,32,,,,,,2020-03-08T15:00:00
AT,Wien,33,,,,,,2020-03-09T08:00:00
AT,Wien,35,,,,,,2020-03-09T15:00:00
AT,Wien,43,,,,,,2020-03-10T08:00:00
AT,Wien,43,,,,,,2020-03-10T15:00:00
AT,Wien,50,,,,,,2020-03-11T08:00:00
AT,Wien,50,,,,,,2020-03-11T15:00:00
AT,Wien,58,,,,,,2020-03-12T08:00:00
AT,Wien,66,,,,,,2020-03-12T15:00:00
AT,Wien,74,3,1,,,,2020-03-13T08:00:00
AT,Wien,82,3,1,,,,2020-03-13T15:00:00
AT,Wien,85,3,1,,,,2020-03-14T08:00:00
AT,Wien,101,3,1,,,,2020-03-14T15:00:00
AT,Wien,108,3,1,,,,2020-03-15T08:00:00
AT,Wien,122,3,1,,,,2020-03-15T15:00:00
AT,Wien,122,3,1,,,,2020-03-16T08:00:00
AT,Wien,128,3,0,,,,2020-03-16T15:00:00
AT,Wien,130,5,0,,,,2020-03-17T08:00:00
AT,Wien,166,5,0,,,,2020-03-17T15:00:00
AT,Wien,180,5,0,,,,2020-03-18T08:00:00
AT,Wien,209,5,0,,,,2020-03-18T15:00:00
AT,Wien,231,5,0,,,,2020-03-19T08:00:00
AT,Wien,234,5,0,,,,2020-03-19T14:30:00
AT,Wien,277,5,0,,,,2020-03-20T08:00:00
AT,Wien,296,5,0,,,,2020-03-20T14:30:00
AT,Wien,296,5,0,,,,2020-03-20T15:00:00
AT,Wien,350,5,0,,,,2020-03-21T08:00:00
AT,Wien,359,5,0,,,,2020-03-21T15:00:00
AT,Wien,369,5,0,,,,2020-03-22T08:00:00
AT,Wien,403,5,0,,,,2020-03-22T15:00:00
AT,Wien,451,5,0,,,,2020-03-23T08:00:00
AT,Wien,476,0,0,,,,2020-03-23T15:00:00
AT,Wien,562,0,0,,,,2020-03-24T08:00:00
AT,Wien,617,0,0,,,,2020-03-24T15:00:00
AT,Wien,678,0,0,,,,2020-03-25T08:00:00
AT,Wien,702,0,0,,,,2020-03-25T15:00:00
AT,Wien,735,0,0,,,,2020-03-26T08:00:00
AT,Wien,734,0,0,,,,2020-03-26T09:00:00
AT,Wien,825,0,0,,,,2020-03-26T15:00:00
AT,Wien,960,,,,118,12,2020-03-27T08:00:00
AT,Wien,1029,,,,129,14,2020-03-27T09:30:00
AT,Wien,1090,,,,129,14,2020-03-28T08:00:00
AT,Wien,1151,,,,176,35,2020-03-29T09:30:00
AT,Wien,1340,,,,188,35,2020-03-30T09:30:00
AT,Wien,1458,,,,191,22,2020-03-31T09:30:00
AT,Wien,1553,,,,195,30,2020-04-01T10:00:00
AT,Wien,1621,,,,195,30,2020-04-02T09:30:00
AT,Wien,1679,,,,199,43,2020-04-03T09:30:00
AT,Wien,1689,,,,192,44,2020-04-04T09:30:00
AT,Wien,1712,,,,192,42,2020-04-05T09:30:00
AT,Wien,1777,,,,199,42,2020-04-06T09:30:00
AT,Wien,1827,,,,191,33,2020-04-07T09:30:00
AT,Wien,1882,,,,188,35,2020-04-08T10:00:00
AT,Wien,1924,,,,191,40,2020-04-09T10:30:00
AT,Wien,1975,,,,188,41,2020-04-10T10:00:00
AT,Wien,1997,,,,187,37,2020-04-11T09:30:00
AT,Wien,2011,,,,191,35,2020-04-12T09:30:00
AT,Wien,2032,,,,163,34,2020-04-13T09:30:00
AT,Wien,1427,,,,176,44,2020-04-14T09:30:00
AT,Wien,2084,572,81,32660,168,38,2020-04-15T09:30:00
AT,Wien,2101,572,81,32660,168,38,2020-04-15T15:00:00
AT,Wien,2105,572,81,32660,168,38,2020-04-16T08:00:00
AT,Wien,2105,1074,82,33607,180,46,2020-04-16T09:30:00
AT,Wien,2119,1074,82,33607,180,46,2020-04-16T15:00:00
AT,Wien,2133,1074,82,33607,180,46,2020-04-17T08:00:00
AT,Wien,2133,1381,86,35603,165,39,2020-04-17T09:30:00
AT,Wien,2145,1381,86,35603,165,39,2020-04-17T15:00:00
AT,Wien,2159,1381,86,35603,165,39,2020-04-18T08:00:00
AT,Wien,2159,1552,88,37256,161,32,2020-04-18T09:30:00
AT,Wien,2170,1552,88,37256,161,32,2020-04-18T15:00:00
AT,Wien,2184,1552,88,37256,161,32,2020-04-19T08:00:00
AT,Wien,2184,1615,90,37256,159,31,2020-04-19T09:30:00
AT,Wien,2198,1615,90,37256,159,31,2020-04-19T15:00:00
AT,Wien,2199,1615,90,37256,159,31,2020-04-20T08:00:00
AT,Wien,2199,1635,96,37750,159,32,2020-04-20T09:30:00
AT,Wien,2204,1635,96,37750,159,32,2020-04-20T15:00:00
AT,Wien,2215,1635,96,37750,159,32,2020-04-21T08:00:00
AT,Wien,2215,1656,99,39880,156,29,2020-04-21T09:30:00
AT,Wien,2220,1656,99,39880,156,29,2020-04-21T15:00:00
AT,Wien,2237,1656,99,39880,156,29,2020-04-22T08:00:00
AT,Wien,2237,1677,104,47541,140,30,2020-04-22T09:30:00
AT,Wien,2247,1677,104,47541,140,30,2020-04-22T15:00:00
AT,Wien,2270,1677,104,47541,140,30,2020-04-23T08:00:00
AT,Wien,2270,1699,105,45520,139,23,2020-04-23T09:30:00
AT,Wien,2281,1699,105,45520,139,23,2020-04-23T15:00:00
AT,Wien,2290,1699,105,45520,139,23,2020-04-24T08:00:00
AT,Wien,2290,1716,106,47206,145,25,2020-04-24T09:30:00
AT,Wien,2311,1716,106,47206,145,25,2020-04-24T15:00:00
AT,Wien,2323,1716,106,47206,145,25,2020-04-25T08:00:00
AT,Wien,2323,1748,107,48607,149,23,2020-04-25T09:30:00
AT,Wien,2336,1748,107,48607,149,23,2020-04-25T15:00:00
AT,Wien,2347,1748,107,48607,149,23,2020-04-26T08:00:00
AT,Wien,2347,1766,110,50973,142,23,2020-04-26T09:30:00
AT,Wien,2357,1766,110,50973,142,23,2020-04-26T15:00:00
AT,Wien,2359,1766,110,50973,142,23,2020-04-27T08:00:00
AT,Wien,2359,1772,113,51804,141,23,2020-04-27T09:30:00
AT,Wien,2380,1772,113,51804,141,23,2020-04-27T15:00:00
AT,Wien,2388,1772,113,51804,141,23,2020-04-28T08:00:00
AT,Wien,2388,1781,127,53114,137,21,2020-04-28T09:30:00
AT,Wien,2399,1781,127,53114,137,21,2020-04-28T15:00:00
AT,Wien,2423,1781,127,53114,137,21,2020-04-29T08:00:00
AT,Wien,2423,1790,130,55147,131,21,2020-04-29T09:30:00
AT,Wien,2439,1790,130,55147,131,21,2020-04-29T15:00:00
AT,Wien,2442,1790,130,55147,131,21,2020-04-30T08:00:00
AT,Wien,2442,1808,130,56750,129,21,2020-04-30T09:30:00
AT,Wien,2465,1808,130,56750,129,21,2020-04-30T15:00:00
AT,Wien,2492,1808,130,56750,129,21,2020-05-01T08:00:00
AT,Wien,2492,1817,131,58413,124,22,2020-05-01T09:30:00
AT,Wien,2497,1817,131,58413,124,22,2020-05-01T15:00:00
AT,Wien,2504,1817,131,58413,124,22,2020-05-02T08:00:00
AT,Wien,2504,1827,135,59457,122,21,2020-05-02T09:30:00
AT,Wien,2526,1827,135,59457,122,21,2020-05-02T15:00:00
AT,Wien,2529,1827,135,59457,122,21,2020-05-03T08:00:00
AT,Wien,2529,1827,135,60943,124,22,2020-05-03T09:30:00
AT,Wien,2538,1827,135,60943,124,22,2020-05-03T15:00:00
AT,Wien,2540,1827,135,60943,124,22,2020-05-04T08:00:00
AT,Wien,2540,1884,136,62364,126,19,2020-05-04T09:30:00
AT,Wien,2541,1884,136,62364,126,19,2020-05-04T15:00:00
AT,Wien,2554,1884,136,62364,126,19,2020-05-05T08:00:00
AT,Wien,2554,1902,137,64413,136,20,2020-05-05T09:30:00
AT,Wien,2557,1902,137,64413,136,20,2020-05-05T15:00:00
AT,Wien,2560,1902,137,64413,136,20,2020-05-06T08:00:00
AT,Wien,2560,1928,137,66538,145,20,2020-05-06T09:30:00
AT,Wien,2587,1928,137,66538,145,20,2020-05-06T15:00:00
AT,Wien,2599,1928,137,66538,145,20,2020-05-07T08:00:00
AT,Wien,2599,1937,138,67738,111,19,2020-05-07T09:30:00
AT,Wien,2605,1937,138,67738,111,19,2020-05-07T15:00:00
AT,Wien,2609,1937,138,67738,111,19,2020-05-08T08:00:00
AT,Wien,2609,1992,141,68859,109,18,2020-05-08T09:30:00
AT,Wien,2631,1992,141,68859,109,18,2020-05-08T15:00:00
AT,Wien,2647,1992,141,68859,109,18,2020-05-09T08:00:00
AT,Wien,2647,1999,141,70226,110,19,2020-05-09T09:30:00
AT,Wien,2661,1999,141,70226,110,19,2020-05-09T15:00:00
AT,Wien,2666,1999,141,70226,110,19,2020-05-10T08:00:00
AT,Wien,2666,2014,143,70738,107,19,2020-05-10T09:30:00
AT,Wien,2672,2014,143,70738,107,19,2020-05-10T15:00:00
AT,Wien,2674,2014,143,70738,107,19,2020-05-11T08:00:00
AT,Wien,2674,2061,144,70789,102,20,2020-05-11T09:30:00
AT,Wien,2712,2061,144,70789,102,20,2020-05-11T15:00:00
AT,Wien,2741,2061,144,70789,102,20,2020-05-12T08:00:00
AT,Wien,2741,2081,144,75361,97,16,2020-05-12T09:30:00
AT,Wien,2748,2081,144,75361,97,16,2020-05-12T15:00:00
AT,Wien,2764,2081,144,75361,97,16,2020-05-13T08:00:00
AT,Wien,2764,2126,144,76478,96,16,2020-05-13T09:30:00
AT,Wien,2807,2126,144,76478,96,16,2020-05-13T15:00:00
AT,Wien,2810,2126,144,76478,96,16,2020-05-14T08:00:00
AT,Wien,2810,2157,144,78833,96,18,2020-05-14T09:30:00
AT,Wien,2829,2157,144,78833,96,18,2020-05-14T15:00:00
AT,Wien,2835,2157,144,78833,96,18,2020-05-15T08:00:00
AT,Wien,2835,2176,144,80219,84,14,2020-05-15T09:30:00
AT,Wien,2865,2176,144,80219,84,14,2020-05-15T15:00:00
AT,Wien,2891,2176,144,80219,84,14,2020-05-16T08:00:00
AT,Wien,2891,2188,144,81902,87,17,2020-05-16T09:30:00
AT,Wien,2894,2188,144,81902,87,17,2020-05-16T15:00:00
AT,Wien,2896,2188,144,81902,87,17,2020-05-17T08:00:00
AT,Wien,2896,2199,144,82944,88,17,2020-05-17T09:30:00
AT,Wien,2905,2199,144,82944,88,17,2020-05-17T15:00:00
AT,Wien,2914,2199,144,82944,88,17,2020-05-18T08:00:00
AT,Wien,2914,2237,144,83745,89,17,2020-05-18T09:30:00
AT,Wien,2923,2237,144,83745,89,17,2020-05-18T15:00:00
AT,Wien,2942,2237,144,83745,89,17,2020-05-19T08:00:00
AT,Wien,2942,2252,144,86247,81,14,2020-05-19T09:30:00
AT,Wien,2964,2252,144,86247,81,14,2020-05-19T15:00:00
AT,Wien,2970,2252,144,86247,81,14,2020-05-20T08:00:00
AT,Wien,2970,2405,144,88196,81,14,2020-05-20T09:30:00
AT,Wien,2988,2405,144,88196,81,14,2020-05-20T15:00:00
AT,Wien,3007,2405,144,88196,81,14,2020-05-21T08:00:00
AT,Wien,3007,2447,144,90228,99,13,2020-05-21T09:00:00
AT,Wien,3014,2447,144,90228,99,13,2020-05-21T15:00:00
AT,Wien,3027,2447,144,90228,99,13,2020-05-22T08:00:00
AT,Wien,3027,2480,144,91303,80,14,2020-05-22T09:00:00
AT,Wien,3032,2480,144,91303,80,14,2020-05-22T15:00:00
AT,Wien,3049,2488,146,92920,71,12,2020-05-23T09:30:00
AT,Wien,3061,2488,146,92920,71,12,2020-05-23T15:00:00
AT,Wien,3071,2488,146,92920,71,12,2020-05-24T08:00:00
AT,Wien,3071,2495,146,94212,71,13,2020-05-24T09:30:00
AT,Wien,3078,2495,146,94212,71,13,2020-05-24T15:00:00
AT,Wien,3083,2495,146,94212,71,13,2020-05-25T08:00:00
AT,Wien,3083,2553,147,95237,74,14,2020-05-25T09:30:00
AT,Wien,3084,2553,147,95237,74,14,2020-05-25T15:00:00
AT,Wien,3098,2553,147,95237,74,14,2020-05-26T08:00:00
AT,Wien,3098,2564,147,96431,66,13,2020-05-26T09:30:00
AT,Wien,3113,2564,147,96431,66,13,2020-05-26T15:00:00
AT,Wien,3119,2564,147,96431,66,13,2020-05-27T08:00:00
AT,Wien,3120,2581,149,98344,59,14,2020-05-27T15:00:00
AT,Wien,3143,2581,149,98344,59,14,2020-05-28T08:00:00
AT,Wien,3143,2607,172,99988,52,12,2020-05-28T09:30:00
AT,Wien,3147,2607,172,99988,52,12,2020-05-28T15:00:00
AT,Wien,3163,2607,172,99988,52,12,2020-05-29T08:00:00
AT,Wien,3163,2645,172,101078,46,10,2020-05-29T09:30:00
AT,Wien,3170,2645,172,101078,46,10,2020-05-29T15:00:00
AT,Wien,3187,2645,172,101078,46,10,2020-05-30T08:00:00
AT,Wien,3187,2793,172,104094,46,10,2020-05-30T09:30:00
AT,Wien,3219,2793,172,104094,46,10,2020-05-30T18:00:00
AT,Wien,3229,2793,172,104094,46,10,2020-05-31T08:30:00
AT,Wien,3229,2855,172,106863,53,14,2020-05-31T09:30:00
AT,Wien,3229,2855,172,106863,53,14,2020-05-31T15:30:00
AT,Wien,3233,2855,172,106863,53,14,2020-06-01T08:00:00
AT,Wien,3233,2855,172,106863,53,14,2020-06-01T09:30:00
AT,Wien,3233,2855,172,106863,53,14,2020-06-01T15:00:00
