country,name,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,,7269,,,,702,110,2020-03-27T08:00:00
AT,,8346,,,,744,135,2020-03-28T08:00:00
AT,,9103,,,,931,187,2020-03-29T09:30:00
AT,,9772,,,,999,193,2020-03-30T09:30:00
AT,,10366,,,,1,198,2020-03-31T09:30:00
AT,,10842,,,,1,215,2020-04-01T10:00:00
AT,,11199,,,,1,227,2020-04-02T09:30:00
AT,,11589,,,,1,245,2020-04-03T09:30:00
AT,,11770,,,,1,245,2020-04-04T09:30:00
AT,,12058,,,,1,244,2020-04-05T09:30:00
AT,,12390,,,,1,250,2020-04-06T09:30:00
AT,,12721,,,,1,243,2020-04-07T09:30:00
AT,,13005,,,,1,267,2020-04-08T10:00:00
AT,,13337,,,,1,266,2020-04-09T10:30:00
AT,,13667,,,,1,261,2020-04-10T10:00:00
AT,,13838,,,,1,246,2020-04-11T09:30:00
AT,,13962,,,,1,243,2020-04-12T09:30:00
AT,,14100,,,,981,239,2020-04-13T09:30:00
AT,,14265,,,,1,243,2020-04-14T09:30:00
AT,,14246,8098,393,156801,1001,232,2020-04-15T09:30:00
AT,,14370,8098,393,156801,1001,232,2020-04-16T08:00:00
AT,,14484,8986,410,162816,967,238,2020-04-17T08:00:00
AT,,14595,9704,431,169272,909,227,2020-04-18T08:00:00
AT,,14662,10214,443,175932,855,208,2020-04-19T08:00:00
AT,,14713,10501,452,179243,817,204,2020-04-20T08:00:00
AT,,14790,10631,470,182949,805,194,2020-04-21T08:00:00
AT,,14840,10971,491,189018,756,196,2020-04-22T08:00:00
AT,,14932,11328,510,201794,700,176,2020-04-23T08:00:00
AT,,14987,11694,522,205835,677,169,2020-04-24T08:00:00
AT,,15069,11872,530,212686,651,156,2020-04-25T08:00:00
AT,,15134,12103,536,221089,608,148,2020-04-26T08:00:00
AT,,15190,12282,542,227631,594,145,2020-04-27T08:00:00
AT,,15256,12362,549,232537,579,140,2020-04-28T08:00:00
AT,,15323,12580,569,239578,561,136,2020-04-29T08:00:00
AT,,15369,12779,580,247754,517,131,2020-04-30T08:00:00
AT,,15458,12907,584,256399,502,128,2020-05-01T08:00:00
AT,,15479,13092,589,264079,472,124,2020-05-02T08:00:00
AT,,15514,13180,596,269619,428,114,2020-05-03T08:00:00
AT,,15538,13228,598,274355,422,114,2020-05-04T08:00:00
AT,,15569,13316,600,279071,420,111,2020-05-05T08:00:00
AT,,15589,13462,606,285883,418,104,2020-05-06T08:00:00
AT,,15652,13639,608,292254,418,97,2020-05-07T08:00:00
AT,,15675,13698,609,297894,360,92,2020-05-08T08:00:00
AT,,15735,13836,614,304069,339,81,2020-05-09T08:00:00
AT,,15777,13928,615,311690,309,79,2020-05-10T08:00:00
AT,,15792,13991,618,316508,291,72,2020-05-11T08:00:00
AT,,15877,14061,620,319484,279,68,2020-05-12T08:00:00
AT,,15921,14148,623,329314,264,59,2020-05-13T08:00:00
AT,,15980,14304,624,336252,243,55,2020-05-14T08:00:00
AT,,16030,14405,626,344606,234,54,2020-05-15T08:00:00
AT,,16133,14471,628,351351,212,47,2020-05-16T08:00:00
AT,,16151,14524,629,357393,208,50,2020-05-17T08:00:00
AT,,16179,14563,629,362509,197,48,2020-05-18T08:00:00
AT,,16231,14614,629,365873,196,45,2020-05-19T08:00:00
AT,,16275,14678,632,372435,182,39,2020-05-20T08:00:00
AT,,16320,14882,633,379592,174,37,2020-05-21T08:00:00
AT,,16358,14951,633,385607,188,32,2020-05-22T08:00:00
AT,,16402,15035,639,396363,144,28,2020-05-23T09:30:00
AT,,16429,15035,639,396363,144,28,2020-05-24T08:00:00
AT,,16458,15063,640,401857,137,29,2020-05-25T08:00:00
AT,,16476,15138,641,405341,139,31,2020-05-26T08:00:00
AT,,16510,15182,643,411185,127,32,2020-05-27T08:00:00
AT,,16541,15228,645,418706,116,32,2020-05-28T08:00:00
AT,,16564,15286,668,427372,107,30,2020-05-29T08:00:00
AT,,16594,15347,668,434302,103,25,2020-05-30T08:00:00
AT,,16638,15520,668,442143,98,23,2020-05-31T08:30:00
AT,,16642,15593,668,448534,97,27,2020-06-01T08:00:00
