country,name,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Tirol,2,,,,,,2020-03-04T17:45:00
AT,Salzburg,3,,,,,,2020-03-04T17:45:00
AT,Steiermark,4,,,,,,2020-03-04T17:45:00
AT,Niederösterreich,5,,,,,,2020-03-04T17:45:00
AT,Wien,15,,,,,,2020-03-04T17:45:00
AT,Tirol,2,,,,,,2020-03-05T08:00:00
AT,Salzburg,3,,,,,,2020-03-05T08:00:00
AT,Steiermark,4,,,,,,2020-03-05T08:00:00
AT,Niederösterreich,12,,,,,,2020-03-05T08:00:00
AT,Wien,16,,,,,,2020-03-05T08:00:00
