country,state,city,ibgeID,deaths,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,_source,date,newCases,newDeaths
Brazil,GO,Abadia de Goiás,5200050,0,6,0.00000,68.39166,0.00000,SES,2020-05-29,0,0
Brazil,MG,Abadia dos Dourados,3100104,0,5,0.00000,71.54099,0.00000,SES,2020-05-29,0,0
Brazil,GO,Abadiânia,5200100,0,2,0.00000,9.97904,0.00000,SES,2020-05-29,2,0
Brazil,PA,Abaetetuba,1500107,48,1552,30.43793,984.15960,0.03093,MS,2020-05-29,5,0
Brazil,MG,Abaeté,3100203,0,1,0.00000,4.30348,0.00000,SES,2020-05-29,0,0
Brazil,CE,Abaiara,2300101,0,1,0.00000,8.52006,0.00000,MS,2020-05-29,0,0
Brazil,BA,Abaré,2900207,0,0,0.00000,0.00000,0.00000,MS,2020-05-29,0,0
Brazil,PR,Abatiá,4100103,0,1,0.00000,13.41022,0.00000,SES,2020-05-29,0,0
Brazil,BA,Abaíra,2900108,0,4,0.00000,45.77183,0.00000,MS,2020-05-29,0,0
Brazil,SC,Abdon Batista,4200051,0,0,0.00000,0.00000,0.00000,MS,2020-05-29,0,0
Brazil,PA,Abel Figueiredo,1500131,1,18,13.45171,242.13075,0.05556,MS,2020-05-29,4,0
Brazil,SC,Abelardo Luz,4200101,0,3,0.00000,16.75603,0.00000,MS,2020-05-29,0,0
Brazil,PE,Abreu e Lima,2600054,35,296,35.00350,296.02960,0.11824,SES,2020-05-29,0,0
Brazil,TO,Abreulândia,1700251,0,2,0.00000,77.54944,0.00000,MS,2020-05-29,0,0
Brazil,BA,Acajutiba,2900306,0,2,0.00000,13.19348,0.00000,MS,2020-05-29,0,0
Brazil,CE,Acarape,2300150,2,23,13.39674,154.06256,0.08696,MS,2020-05-29,-1,0
Brazil,CE,Acaraú,2300200,13,311,20.75318,496.47994,0.04180,MS,2020-05-29,0,0
Brazil,RN,Acari,2400109,0,3,0.00000,26.93966,0.00000,MS,2020-05-29,0,0
Brazil,PA,Acará,1500206,7,30,12.59197,53.96557,0.23333,MS,2020-05-29,0,0
Brazil,CE,Acopiara,2300309,2,49,3.68528,90.28929,0.04082,MS,2020-05-29,0,-1
Brazil,MT,Acorizal,5100102,0,9,0.00000,166.69754,0.00000,MS,2020-05-29,0,0
Brazil,AC,Acrelândia,1200013,1,158,6.55480,1035.65810,0.00633,MS,2020-05-29,8,0
Brazil,SP,Adamantina,3500105,2,38,5.70321,108.36090,0.05263,SES,2020-05-29,1,0
Brazil,SP,Adolfo,3500204,0,3,0.00000,84.22235,0.00000,SES,2020-05-29,0,0
Brazil,BA,Adustina,2900355,1,2,5.86854,11.73709,0.50000,MS,2020-05-29,0,0
Brazil,PE,Afogados da Ingazeira,2600104,0,8,0.00000,21.47132,0.00000,SES,2020-05-29,0,0
Brazil,RN,Afonso Bezerra,2400307,1,10,9.06208,90.62075,0.10000,MS,2020-05-29,0,0
Brazil,ES,Afonso Cláudio,3200102,6,58,19.61682,189.62924,0.10345,MS,2020-05-29,0,0
Brazil,MA,Afonso Cunha,2100105,0,6,0.00000,91.96812,0.00000,MS,2020-05-29,0,0
Brazil,PE,Afrânio,2600203,0,15,0.00000,76.39419,0.00000,SES,2020-05-29,0,0
