data,stato,code_region,name_region,lat,long,hospitalized_with_sintome,intensive_care,total_hospitalized,home_isolation,total_positive,variation_total_positive,new_positive,discharged_healed,deaths,total_case,material_use,cases_tested,note_it,note_en
24/02/2020,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,0,,,
25/02/2020,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,0,,,
26/02/2020,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,0,,,
27/02/2020,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,0,,,
28/02/2020,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,0,,,
29/02/2020,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,0,,,
01/03/2020,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,6,,,
02/03/2020,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,13,,,
03/03/2020,ITA,14,Molise,41.55774754,14.65916051,3,0,3,0,3,3,3,0,0,3,13,,,
04/03/2020,ITA,14,Molise,41.55774754,14.65916051,3,0,3,0,3,0,0,0,0,3,19,,,
05/03/2020,ITA,14,Molise,41.55774754,14.65916051,4,0,4,3,7,4,4,0,0,7,24,,,
06/03/2020,ITA,14,Molise,41.55774754,14.65916051,3,2,5,7,12,5,5,0,0,12,104,,,
07/03/2020,ITA,14,Molise,41.55774754,14.65916051,3,2,5,9,14,2,2,0,0,14,112,,,
08/03/2020,ITA,14,Molise,41.55774754,14.65916051,4,2,6,8,14,0,0,0,0,14,116,,,
09/03/2020,ITA,14,Molise,41.55774754,14.65916051,4,2,6,8,14,0,0,0,0,14,212,,,
10/03/2020,ITA,14,Molise,41.55774754,14.65916051,3,3,6,9,15,1,1,0,0,15,225,,,
11/03/2020,ITA,14,Molise,41.55774754,14.65916051,4,3,7,9,16,1,1,0,0,16,233,,,
12/03/2020,ITA,14,Molise,41.55774754,14.65916051,4,3,7,9,16,0,0,0,0,16,238,,,
13/03/2020,ITA,14,Molise,41.55774754,14.65916051,5,3,8,9,17,1,1,0,0,17,243,,,
14/03/2020,ITA,14,Molise,41.55774754,14.65916051,5,3,8,9,17,0,0,0,0,17,247,,,
15/03/2020,ITA,14,Molise,41.55774754,14.65916051,3,4,7,10,17,0,0,0,0,17,248,,,
16/03/2020,ITA,14,Molise,41.55774754,14.65916051,3,5,8,7,15,-2,4,5,1,21,253,,,
17/03/2020,ITA,14,Molise,41.55774754,14.65916051,7,5,12,7,19,4,4,5,1,25,301,,,
18/03/2020,ITA,14,Molise,41.55774754,14.65916051,7,6,13,8,21,2,3,6,1,28,361,,,
19/03/2020,ITA,14,Molise,41.55774754,14.65916051,19,6,25,13,38,17,18,6,2,46,426,,,
20/03/2020,ITA,14,Molise,41.55774754,14.65916051,20,6,26,13,39,1,4,6,5,50,426,,,
21/03/2020,ITA,14,Molise,41.55774754,14.65916051,21,6,27,20,47,8,11,7,7,61,449,,,
22/03/2020,ITA,14,Molise,41.55774754,14.65916051,24,7,31,21,52,5,5,7,7,66,532,,,
23/03/2020,ITA,14,Molise,41.55774754,14.65916051,25,7,32,18,50,-2,1,10,7,67,532,,,
24/03/2020,ITA,14,Molise,41.55774754,14.65916051,27,7,34,21,55,5,6,10,8,73,572,,,
25/03/2020,ITA,14,Molise,41.55774754,14.65916051,26,7,33,20,53,-2,0,12,8,73,580,,,
26/03/2020,ITA,14,Molise,41.55774754,14.65916051,27,8,35,46,81,28,30,14,8,103,670,,,
27/03/2020,ITA,14,Molise,41.55774754,14.65916051,26,9,35,51,86,5,6,14,9,109,710,,,
28/03/2020,ITA,14,Molise,41.55774754,14.65916051,26,9,35,63,98,12,14,16,9,123,807,,,
29/03/2020,ITA,14,Molise,41.55774754,14.65916051,25,9,34,66,100,2,4,18,9,127,918,,,
30/03/2020,ITA,14,Molise,41.55774754,14.65916051,27,8,35,72,107,7,7,18,9,134,955,,,
31/03/2020,ITA,14,Molise,41.55774754,14.65916051,29,8,37,80,117,10,10,18,9,144,1049,,,
01/04/2020,ITA,14,Molise,41.55774754,14.65916051,32,8,40,91,131,14,16,19,10,160,1157,,,
02/04/2020,ITA,14,Molise,41.55774754,14.65916051,30,8,38,95,133,2,5,21,11,165,1229,,,
03/04/2020,ITA,14,Molise,41.55774754,14.65916051,31,8,39,105,144,11,11,21,11,176,1378,,,
04/04/2020,ITA,14,Molise,41.55774754,14.65916051,31,6,37,134,171,27,30,24,11,206,1504,,,
05/04/2020,ITA,14,Molise,41.55774754,14.65916051,33,6,39,148,187,16,18,24,13,224,1504,,,
06/04/2020,ITA,14,Molise,41.55774754,14.65916051,34,5,39,148,187,0,0,24,13,224,1546,,,
07/04/2020,ITA,14,Molise,41.55774754,14.65916051,35,5,40,145,185,-2,0,26,13,224,1581,,,
08/04/2020,ITA,14,Molise,41.55774754,14.65916051,30,4,34,147,181,-4,2,32,13,226,2002,,,
09/04/2020,ITA,14,Molise,41.55774754,14.65916051,30,4,34,155,189,8,8,32,13,234,2069,,,
10/04/2020,ITA,14,Molise,41.55774754,14.65916051,28,4,32,161,193,4,9,37,13,243,2069,,pd-IT-0010,pd-EN-0010
11/04/2020,ITA,14,Molise,41.55774754,14.65916051,28,4,32,161,193,0,3,39,14,246,2201,,,
12/04/2020,ITA,14,Molise,41.55774754,14.65916051,27,4,31,171,202,9,11,40,15,257,2471,,,
13/04/2020,ITA,14,Molise,41.55774754,14.65916051,28,4,32,170,202,0,0,40,15,257,2522,,,
14/04/2020,ITA,14,Molise,41.55774754,14.65916051,26,4,30,170,200,-2,0,42,15,257,2522,,,
15/04/2020,ITA,14,Molise,41.55774754,14.65916051,27,4,31,175,206,6,6,42,15,263,2855,,,
16/04/2020,ITA,14,Molise,41.55774754,14.65916051,25,4,29,174,203,-3,0,44,16,263,2967,,,
17/04/2020,ITA,14,Molise,41.55774754,14.65916051,26,4,30,178,208,5,6,45,16,269,3082,,,
18/04/2020,ITA,14,Molise,41.55774754,14.65916051,27,4,31,178,209,1,0,44,16,269,3082,,,
19/04/2020,ITA,14,Molise,41.55774754,14.65916051,27,4,31,184,215,6,10,47,17,279,3584,3482,,
20/04/2020,ITA,14,Molise,41.55774754,14.65916051,27,2,29,184,213,-2,2,50,18,281,3783,3683,,
21/04/2020,ITA,14,Molise,41.55774754,14.65916051,27,2,29,184,213,0,1,51,18,282,4124,4015,,
22/04/2020,ITA,14,Molise,41.55774754,14.65916051,21,2,23,182,205,-8,2,60,19,284,4425,4252,,
23/04/2020,ITA,14,Molise,41.55774754,14.65916051,19,1,20,178,198,-7,0,66,20,284,4564,4478,,
24/04/2020,ITA,14,Molise,41.55774754,14.65916051,19,1,20,180,200,2,3,67,20,287,4805,4718,,
25/04/2020,ITA,14,Molise,41.55774754,14.65916051,19,1,20,178,198,-2,5,73,21,292,5191,5089,,
26/04/2020,ITA,14,Molise,41.55774754,14.65916051,20,1,21,179,200,2,4,75,21,296,5567,5334,,
27/04/2020,ITA,14,Molise,41.55774754,14.65916051,20,1,21,179,200,0,0,75,21,296,5656,5423,,
28/04/2020,ITA,14,Molise,41.55774754,14.65916051,18,1,19,176,195,-5,1,81,21,297,5776,5538,,
29/04/2020,ITA,14,Molise,41.55774754,14.65916051,17,1,18,175,193,-2,0,83,21,297,5910,5857,,
30/04/2020,ITA,14,Molise,41.55774754,14.65916051,17,1,18,172,190,-3,1,87,21,298,6446,6228,,
01/05/2020,ITA,14,Molise,41.55774754,14.65916051,17,1,18,172,190,0,2,89,21,300,6463,6450,,
