data,stato,code_region,name_region,lat,long,hospitalized_with_sintome,intensive_care,total_hospitalized,home_isolation,total_positive,variation_total_positive,new_positive,discharged_healed,deaths,total_case,material_use,cases_tested,note_it,note_en
24/02/2020,ITA,1,Piemonte,45.0732745,7.680687483,2,0,2,1,3,0,3,0,0,3,141,,,
25/02/2020,ITA,1,Piemonte,45.0732745,7.680687483,2,0,2,1,3,0,0,0,0,3,141,,,
26/02/2020,ITA,1,Piemonte,45.0732745,7.680687483,2,0,2,1,3,0,0,0,0,3,156,,,
27/02/2020,ITA,1,Piemonte,45.0732745,7.680687483,2,0,2,0,2,-1,-1,0,0,2,156,,,
28/02/2020,ITA,1,Piemonte,45.0732745,7.680687483,7,0,7,4,11,9,9,0,0,11,227,,,
29/02/2020,ITA,1,Piemonte,45.0732745,7.680687483,7,0,7,4,11,0,0,0,0,11,308,,,
01/03/2020,ITA,1,Piemonte,45.0732745,7.680687483,11,2,13,36,49,38,38,0,0,49,362,,,
02/03/2020,ITA,1,Piemonte,45.0732745,7.680687483,12,2,14,37,51,2,2,0,0,51,434,,,
03/03/2020,ITA,1,Piemonte,45.0732745,7.680687483,13,3,16,40,56,5,5,0,0,56,458,,,
04/03/2020,ITA,1,Piemonte,45.0732745,7.680687483,26,13,39,43,82,26,26,0,0,82,543,,,
05/03/2020,ITA,1,Piemonte,45.0732745,7.680687483,43,17,60,46,106,24,26,0,2,108,543,,,
06/03/2020,ITA,1,Piemonte,45.0732745,7.680687483,57,30,87,52,139,33,35,0,4,143,793,,,
07/03/2020,ITA,1,Piemonte,45.0732745,7.680687483,110,38,148,54,202,63,64,0,5,207,1046,,,
08/03/2020,ITA,1,Piemonte,45.0732745,7.680687483,245,45,290,65,355,153,153,0,5,360,1636,,,
09/03/2020,ITA,1,Piemonte,45.0732745,7.680687483,222,50,272,65,337,-18,-10,0,13,350,1681,,,
10/03/2020,ITA,1,Piemonte,45.0732745,7.680687483,306,66,372,64,436,99,103,0,17,453,2374,,,
11/03/2020,ITA,1,Piemonte,45.0732745,7.680687483,319,75,394,86,480,44,48,0,21,501,2431,,,
12/03/2020,ITA,1,Piemonte,45.0732745,7.680687483,368,97,465,89,554,74,79,0,26,580,2879,,,
