Total_Confirmados,Total_Recuperados,Total_Fatalidades,Data
0.0,0.0,0.0,1/22/20
0.0,0.0,0.0,1/23/20
0.0,0.0,0.0,1/24/20
0.0,0.0,0.0,1/25/20
1.0,0.0,0.0,1/26/20
1.0,0.0,0.0,1/27/20
1.0,0.0,0.0,1/28/20
1.0,0.0,0.0,1/29/20
2.0,0.0,0.0,1/30/20
3.0,0.0,0.0,1/31/20
4.0,0.0,0.0,2/1/20
4.0,0.0,0.0,2/2/20
4.0,0.0,0.0,2/3/20
4.0,0.0,0.0,2/4/20
4.0,0.0,0.0,2/5/20
4.0,0.0,0.0,2/6/20
4.0,0.0,0.0,2/7/20
4.0,0.0,0.0,2/8/20
4.0,0.0,0.0,2/9/20
4.0,0.0,0.0,2/10/20
4.0,0.0,0.0,2/11/20
4.0,0.0,0.0,2/12/20
4.0,4.0,0.0,2/13/20
4.0,4.0,0.0,2/14/20
4.0,4.0,0.0,2/15/20
4.0,4.0,0.0,2/16/20
4.0,4.0,0.0,2/17/20
4.0,4.0,0.0,2/18/20
4.0,4.0,0.0,2/19/20
4.0,4.0,0.0,2/20/20
4.0,4.0,0.0,2/21/20
4.0,4.0,0.0,2/22/20
4.0,4.0,0.0,2/23/20
4.0,4.0,0.0,2/24/20
4.0,4.0,0.0,2/25/20
4.0,4.0,0.0,2/26/20
4.0,4.0,0.0,2/27/20
4.0,4.0,0.0,2/28/20
9.0,4.0,0.0,2/29/20
9.0,4.0,1.0,3/1/20
12.0,4.0,1.0,3/2/20
12.0,4.0,1.0,3/3/20
13.0,4.0,1.0,3/4/20
14.0,7.0,1.0,3/5/20
14.0,7.0,1.0,3/6/20
15.0,7.0,1.0,3/7/20
16.0,7.0,1.0,3/8/20
21.0,7.0,1.0,3/9/20
26.0,7.0,1.0,3/10/20
33.0,7.0,1.0,3/11/20
33.0,7.0,1.0,3/12/20
55.0,8.0,1.0,3/13/20
71.0,8.0,1.0,3/14/20
80.0,8.0,1.0,3/15/20
106.0,8.0,1.0,3/16/20
132.0,8.0,1.0,3/17/20
166.0,8.0,1.0,3/18/20
183.0,11.0,1.0,3/19/20
195.0,11.0,1.0,3/20/20
335.0,11.0,1.0,3/21/20
497.0,73.0,1.0,3/22/20
523.0,73.0,1.0,3/23/20
614.0,100.0,1.0,3/24/20
677.0,101.0,1.0,3/25/20
798.0,153.0,5.0,3/26/20
852.0,175.0,5.0,3/27/20
1025.0,224.0,5.0,3/28/20
1146.0,224.0,6.0,3/29/20
1242.0,237.0,6.0,3/30/20
1350.0,337.0,7.0,3/31/20
1429.0,396.0,8.0,4/1/20
1508.0,491.0,9.0,4/2/20
1559.0,573.0,11.0,4/3/20
1631.0,624.0,12.0,4/4/20
1670.0,670.0,13.0,4/5/20
1704.0,808.0,16.0,4/6/20
1740.0,808.0,17.0,4/7/20
1791.0,808.0,21.0,4/8/20
1834.0,954.0,21.0,4/9/20
1869.0,1177.0,23.0,4/10/20
1912.0,1190.0,24.0,4/11/20
1915.0,1190.0,25.0,4/12/20
1942.0,1190.0,25.0,4/13/20
1983.0,1422.0,26.0,4/14/20
1991.0,1422.0,26.0,4/15/20
2000.0,1542.0,26.0,4/16/20
2023.0,1566.0,28.0,4/17/20
2051.0,1579.0,28.0,4/18/20
2068.0,1579.0,28.0,4/19/20
2074.0,1702.0,28.0,4/20/20
2083.0,1719.0,28.0,4/21/20
2087.0,1771.0,28.0,4/22/20
2090.0,1800.0,31.0,4/23/20
2098.0,1824.0,33.0,4/24/20
2102.0,1857.0,34.0,4/25/20
2110.0,1874.0,36.0,4/26/20
2112.0,1898.0,36.0,4/27/20
2122.0,1919.0,37.0,4/28/20
2131.0,1942.0,38.0,4/29/20
2136.0,1953.0,39.0,4/30/20
2143.0,1968.0,39.0,5/1/20
2156.0,1978.0,39.0,5/2/20
2178.0,1987.0,40.0,5/3/20
2195.0,2004.0,40.0,5/4/20
2216.0,2014.0,40.0,5/5/20
2231.0,2017.0,40.0,5/6/20
2246.0,2035.0,40.0,5/7/20
2247.0,2036.0,40.0,5/8/20
2266.0,2054.0,40.0,5/9/20
2275.0,2064.0,40.0,5/10/20
2291.0,2078.0,40.0,5/11/20
2294.0,2106.0,40.0,5/12/20
2300.0,2107.0,40.0,5/13/20
2319.0,2133.0,40.0,5/14/20
2331.0,2146.0,40.0,5/15/20
2339.0,2150.0,40.0,5/16/20
2346.0,2176.0,40.0,5/17/20
2358.0,2194.0,40.0,5/18/20
2358.0,2194.0,40.0,5/19/20
2366.0,2214.0,40.0,5/20/20
2378.0,2222.0,40.0,5/21/20
2378.0,2223.0,40.0,5/22/20
2391.0,2246.0,41.0,5/23/20
2393.0,2269.0,41.0,5/24/20
2402.0,2284.0,41.0,5/25/20
2416.0,2285.0,41.0,5/26/20
2426.0,2296.0,41.0,5/27/20
2439.0,2297.0,41.0,5/28/20
2458.0,2309.0,41.0,5/29/20
2463.0,2315.0,41.0,5/30/20
2470.0,2319.0,41.0,5/31/20
2482.0,2323.0,41.0,6/1/20
