countryterritoryCode,cases,deaths,country
ABW,101,3,Aruba
AFG,4402,120,Afghanistan
AGO,45,2,Angola
ALB,868,31,Albania
AND,755,48,Andorra
ARE,18198,198,United_Arab_Emirates
ARG,5776,300,Argentina
ARM,3313,45,Armenia
ATG,25,3,Antigua_and_Barbuda
AUS,6941,97,Australia
AUT,15787,618,Austria
AZE,2519,32,Azerbaijan
BDI,19,1,Burundi
BEL,53081,8656,Belgium
BEN,319,2,Benin
BFA,751,49,Burkina_Faso
BGD,14657,228,Bangladesh
BGR,1965,91,Bulgaria
BHR,4941,8,Bahrain
BHS,92,11,Bahamas
BIH,2090,102,Bosnia_and_Herzegovina
BLR,22973,131,Belarus
BLZ,18,2,Belize
BMU,118,7,Bermuda
BOL,2556,118,Bolivia
BRA,162699,11123,Brazil
BRB,84,7,Barbados
BRN,141,1,Brunei_Darussalam
BTN,9,0,Bhutan
BWA,23,1,Botswana
CAF,179,0,Central_African_Republic
CAN,68848,4871,Canada
CHE,30222,1537,Switzerland
CHL,28866,312,Chile
CHN,84010,4637,China
CIV,1700,21,Cote_dIvoire
CMR,2579,114,Cameroon
COD,1024,41,Democratic_Republic_of_the_Congo
COG,287,10,Congo
COL,11063,463,Colombia
COM,11,1,Comoros
CPV,246,2,Cape_Verde
CRI,792,6,Costa_Rica
CUB,1766,77,Cuba
CUW,16,1,Curaçao
CYM,81,1,Cayman_Islands
CYP,898,22,Cyprus
CZE,8123,280,Czechia
DEU,169575,7417,Germany
DJI,1210,3,Djibouti
DMA,16,0,Dominica
DNK,10429,529,Denmark
DOM,10347,388,Dominican_Republic
DZA,5723,502,Algeria
ECU,29559,2127,Ecuador
EGY,9400,525,Egypt
ERI,39,0,Eritrea
ESP,224390,26621,Spain
EST,1739,60,Estonia
ETH,239,5,Ethiopia
FIN,5962,267,Finland
FJI,18,0,Fiji
FRA,139063,26380,France
FRO,187,0,Faroe_Islands
GAB,661,8,Gabon
GBR,219183,31855,United_Kingdom
GEO,635,10,Georgia
GGY,252,13,Guernsey
GHA,4263,22,Ghana
GIB,146,0,Gibraltar
GIN,2146,11,Guinea
GMB,20,1,Gambia
GNB,726,3,Guinea_Bissau
GNQ,439,4,Equatorial_Guinea
GRC,2716,151,Greece
GRD,21,0,Grenada
GRL,11,0,Greenland
GTM,1052,26,Guatemala
GUM,151,5,Guam
GUY,104,10,Guyana
HND,1972,108,Honduras
HRV,2187,90,Croatia
HTI,182,15,Haiti
