country_name,total_confirmed,total_deceased,total_recovered,total_hospitalized,total_tested,total_intensive_care
Afghanistan,197152.0,4895.0,0.0,0.0,0.0,0.0
Albania,42310.0,1666.0,0.0,0.0,0.0,0.0
Algeria,248879.0,23827.0,0.0,0.0,0.0,0.0
Andorra,42385.0,2268.0,0.0,0.0,0.0,0.0
Angola,1950.0,132.0,0.0,0.0,0.0,0.0
Anguilla,182.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,1340.0,136.0,0.0,0.0,0.0,0.0
Argentina,623859.0,27209.0,0.0,0.0,3009688.0,0.0
Armenia,157960.0,2071.0,0.0,0.0,0.0,0.0
Aruba,5599.0,105.0,0.0,0.0,0.0,0.0
Australia,836253.0,9425.0,270289.0,0.0,77418855.0,0.0
Austria,1851088.0,54122.0,0.0,0.0,27028223.0,0.0
Azerbaijan,118208.0,1448.0,0.0,0.0,0.0,0.0
Bahamas,4241.0,536.0,0.0,0.0,0.0,0.0
Bahrain,224232.0,514.0,0.0,0.0,7978072.0,0.0
Bangladesh,627179.0,10545.0,0.0,0.0,4983152.0,0.0
Barbados,4675.0,313.0,0.0,0.0,0.0,0.0
Belarus,874299.0,5248.0,0.0,0.0,7836005.0,0.0
Belgium,2538661.0,372061.0,0.0,0.0,17829074.0,0.0
Belize,915.0,101.0,0.0,0.0,0.0,0.0
Benin,6973.0,88.0,0.0,0.0,0.0,0.0
Bermuda,5648.0,335.0,0.0,0.0,0.0,0.0
Bhutan,645.0,0.0,0.0,0.0,0.0,0.0
Bolivia,222078.0,9876.0,0.0,0.0,358142.0,0.0
Bosnia and Herzegovina,94705.0,4414.0,0.0,0.0,0.0,0.0
Botswana,1148.0,57.0,0.0,0.0,0.0,0.0
Brazil,14176399.0,924534.0,0.0,0.0,195452.0,0.0
British Virgin Islands,334.0,39.0,0.0,0.0,0.0,0.0
Brunei,9575.0,62.0,0.0,0.0,0.0,0.0
Bulgaria,85601.0,3944.0,0.0,0.0,1708897.0,0.0
Burkina Faso,37558.0,2332.0,0.0,0.0,0.0,0.0
Burundi,1017.0,44.0,0.0,0.0,0.0,0.0
Cambodia,8148.0,0.0,0.0,0.0,0.0,0.0
Cameroon,118783.0,4246.0,0.0,0.0,0.0,0.0
Canada,6044153.0,378107.0,2452387.0,0.0,102087793.0,0.0
Cape Verde,9158.0,106.0,0.0,0.0,0.0,0.0
Caribbean Netherlands,285.0,0.0,0.0,0.0,0.0,0.0
Cayman Islands,4336.0,69.0,0.0,0.0,0.0,0.0
Central African Republic,8612.0,5.0,0.0,0.0,0.0,0.0
Chad,11880.0,1095.0,0.0,0.0,0.0,0.0
Chile,2820964.0,15262.0,0.0,0.0,12111030.0,0.0
China,15752164.0,669661.0,10322671.0,0.0,0.0,0.0
Colombia,932452.0,37908.0,129460.0,0.0,6170685.0,0.0
Comoros,753.0,25.0,0.0,0.0,0.0,0.0
Costa Rica,43527.0,363.0,0.0,0.0,595541.0,0.0
Croatia,115132.0,3540.0,0.0,0.0,1845416.0,0.0
Cuba,75362.0,2949.0,0.0,0.0,2707186.0,0.0
Curaçao,915.0,63.0,0.0,0.0,0.0,0.0
Cyprus,46349.0,829.0,0.0,0.0,0.0,0.0
Czech Republic,872535.0,12444.0,0.0,0.0,13897958.0,0.0
Democratic Republic of the Congo,47880.0,2098.0,0.0,0.0,0.0,0.0
Denmark,515161.0,23928.0,0.0,0.0,12414762.0,0.0
Djibouti,58227.0,200.0,0.0,0.0,0.0,0.0
Dominica,972.0,0.0,0.0,0.0,0.0,0.0
Dominican Republic,430936.0,16779.0,0.0,0.0,0.0,0.0
East Timor,1023.0,0.0,0.0,0.0,0.0,0.0
Ecuador,1187240.0,76591.0,0.0,0.0,1774983.0,0.0
Egypt,401259.0,22182.0,0.0,0.0,0.0,0.0
El Salvador,38225.0,828.0,0.0,0.0,1631771.0,0.0
Equatorial Guinea,20143.0,180.0,0.0,0.0,0.0,0.0
Eritrea,2145.0,0.0,0.0,0.0,0.0,0.0
Estonia,95946.0,2627.0,0.0,0.0,2934735.0,0.0
Ethiopia,11497.0,197.0,0.0,0.0,1019579.0,0.0
Falkland Islands,595.0,0.0,0.0,0.0,0.0,0.0
Faroe Islands,12233.0,0.0,0.0,0.0,0.0,0.0
Fiji,1010.0,0.0,0.0,0.0,0.0,0.0
Finland,276358.0,10451.0,0.0,0.0,5710751.0,0.0
France,18275715.0,8287498.0,0.0,4429524.0,3397303.0,0.0
French Polynesia,3497.0,0.0,0.0,0.0,0.0,0.0
Gabon,33850.0,317.0,0.0,0.0,0.0,0.0
Gambia,850.0,66.0,0.0,0.0,0.0,0.0
Georgia,28940.0,395.0,0.0,0.0,0.0,0.0
Germany,13571455.0,461036.0,0.0,0.0,23102792.0,0.0
Ghana,159401.0,970.0,0.0,0.0,3077702.0,0.0
Gibraltar,8172.0,0.0,0.0,0.0,0.0,0.0
Greece,152407.0,7662.0,0.0,0.0,4135534.0,0.0
Greenland,702.0,0.0,0.0,0.0,0.0,0.0
Grenada,1065.0,0.0,0.0,0.0,0.0,0.0
Guam,8549.0,286.0,0.0,0.0,0.0,0.0
Guatemala,56540.0,1172.0,0.0,0.0,0.0,0.0
Guernsey,13369.0,578.0,0.0,0.0,0.0,0.0
Guinea,82587.0,467.0,0.0,0.0,0.0,0.0
Guinea-Bissau,23317.0,106.0,0.0,0.0,0.0,0.0
Guyana,4694.0,477.0,0.0,0.0,0.0,0.0
Haiti,13349.0,600.0,0.0,0.0,0.0,0.0
Honduras,81723.0,4700.0,0.0,0.0,0.0,0.0
Hong Kong,0.0,0.0,0.0,0.0,493222.0,0.0
Hungary,147420.0,16620.0,0.0,0.0,4646298.0,0.0
Iceland,110138.0,525.0,0.0,0.0,2779212.0,0.0
India,5471353.0,171023.0,0.0,0.0,59886070.0,0.0
Indonesia,1263560.0,44584.0,0.0,0.0,4411777.0,0.0
Iran,5917742.0,360389.0,0.0,0.0,23342644.0,0.0
Iraq,136736.0,6079.0,0.0,0.0,0.0,0.0
Ireland,1021500.0,56841.0,0.0,118820.0,1549383.0,15832.0
Isle of Man,16318.0,854.0,0.0,0.0,0.0,0.0
Israel,840068.0,11066.0,0.0,0.0,14708858.0,0.0
Italy,24717796.0,3268870.0,9308222.0,3232461.0,242894830.0,346726.0
Ivory Coast,74169.0,873.0,0.0,0.0,0.0,0.0
Jamaica,19331.0,398.0,0.0,0.0,0.0,0.0
