id,distrito,24/3/2020,25/3/2020,26/3/2020,27/3/2020,28/3/2020,29/3/2020,30/3/2020,31/3/2020,1/4/2020,2/4/2020,3/4/2020,4/4/2020,5/4/2020,6/4/2020,7/4/2020,8/4/2020,9/4/2020,10/4/2020,11/4/2020,12/4/2020,13/4/2020,14/4/2020,15/4/2020,16/4/2020,17/4/2020,18/4/2020,19/4/2020,20/4/2020,21/4/2020,22/4/2020,23/4/2020,24/4/2020,25/4/2020,26/4/2020,27/4/2020,28/4/2020,29/4/2020,30/4/2020,1/5/2020,2/5/2020,3/5/2020,4/5/2020,5/5/2020,6/5/2020,7/5/2020,8/5/2020
"1",SANTARÉM,"17","23","23","23","66","68","100","73","72","88","93","125","130","133","150","160","175","186","186","191","192","206","218","222","226","239","243","243","249","248","262","262","265","286","286","287","287","293","297","300","300","293","300","311","318","320"
"2",FARO,"27","30","79","93","91","103","109","124","132","141","152","161","182","211","216","211","230","237","235","245","259","264","278","287","298","294","297","299","310","312","316","318","318","323","324","324","324","321","323","324","325","325","320","323","325","325"
"3",ÉVORA,"4","5","8","8","15","23","25","18","20","20","22","22","23","23","23","25","29","29","29","29","29","29","29","28","28","27","24","24","29","33","39","39","40","39","39","39","39","43","43","43","43","43","43","44","44","49"
"4",BRAGA,"51","59","212","282","312","421","452","511","584","660","705","788","855","874","968","997","1162","1234","1317","1411","1494","1507","1573","1760","1807","1968","2038","2052","2144","2147","2282","2290","2366","2487","2491","2496","2496","2649","2711","2732","2774","2802","2828","2841","2874","3013"
"5",COIMBRA,"40","47","106","140","144","248","295","228","245","269","304","325","325","334","351","359","398","413","414","420","441","470","491","536","566","588","600","606","608","611","634","636","639","693","693","693","693","699","707","707","716","778","894","921","960","965"
"6",GUARDA,"3","3","0","3","3","38","3","6","3","7","4","4","5","10","131","135","138","140","139","145","158","161","174","188","185","185","180","180","182","182","182","191","189","189","189","190","190","180","181","181","182","185","185","187","187","187"
"7",PORTALEGRE,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","4","4","4","7","7","7","7","8","10","13","12","12","14","14","13","13","14","14","14","13","13","13","13","12","12","12","9","13"
"8",LEIRIA,"3","3","28","29","39","42","51","38","73","76","98","108","109","114","121","121","129","131","136","144","148","158","157","163","179","181","191","192","205","206","216","216","218","239","240","240","240","245","248","251","252","262","263","266","270","270"
"9",SETÚBAL,"80","95","101","101","185","217","245","277","313","341","359","392","411","418","441","457","473","540","548","555","566","571","571","595","609","622","622","628","617","619","635","637","687","719","721","722","722","736","751","761","766","780","798","827","862","881"
"10",VILA REAL,"7","12","11","37","111","125","139","140","146","150","150","155","160","160","164","164","167","175","177","182","184","186","202","227","230","234","234","238","245","246","248","248","250","262","262","262","262","259","261","264","267","265","267","268","272","277"
"11",LISBOA,"340","374","444","444","807","1166","1264","1160","1270","1420","1530","1623","1693","1743","1869","1934","2052","2217","2294","2365","2400","2495","2568","2669","2762","2841","2884","2922","3130","3155","3311","3327","3431","3583","3600","3613","3613","3816","3894","4016","4079","4113","4200","4446","4607","4678"
"12",CASTELO BRANCO,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","5","5","5","5","5","5","8","11","11","13","14","15","15","16","16","16","16","16","19","19","19","19","19","19","19","19","19","20","20"
"13",AVEIRO,"124","142","311","393","499","652","802","627","728","816","883","966","1011","1023","1112","1148","1180","1325","1392","1415","1448","1491","1593","1703","1732","1780","1815","1824","1820","1823","1884","1888","1905","2075","2076","2076","2076","2142","2162","2183","2204","2254","2268","2276","2294","2322"
"14",VIANA DO CASTELO,"10","10","35","35","42","51","60","54","61","65","72","88","103","126","147","157","181","190","207","219","228","240","267","288","316","318","325","329","334","337","343","343","344","372","372","376","376","341","442","449","451","445","448","452","463","472"
"15",VISEU,"6","11","26","33","60","67","101","75","90","97","103","110","123","123","138","152","243","261","311","328","346","348","355","373","388","397","419","423","425","426","436","440","440","460","463","464","464","459","462","464","469","500","504","504","509","510"
"16",BEJA,"0","0","0","0","0","0","0","0","0","3","6","6","7","7","9","11","11","22","45","45","45","47","57","58","58","58","58","58","62","62","62","65","65","70","70","75","75","97","97","97","97","93","94","95","98","101"
"17",BRAGANÇA,"7","7","27","33","43","59","70","72","74","78","84","84","121","123","141","142","154","157","169","173","174","175","181","182","183","193","203","203","205","205","208","209","208","221","221","221","221","228","230","233","233","230","230","234","239","240"
"18",PORTO,"555","617","1029","1296","1513","2052","2714","2232","2494","2766","3041","3211","3447","3597","3851","3976","4260","4747","4971","5237","5498","5750","6020","6255","6417","6628","6793","6866","6965","6997","7384","7400","7486","8039","8062","8065","8065","8557","8674","8728","8741","8787","8816","8839","8905","9090"
