iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k
SWE,Sweden,24/03/2020,2016,110,25,4,199.618,10.892,2.475,0.396,,,,,1563,0.155,people tested,28.7,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22
SWE,Sweden,25/03/2020,2272,256,36,11,224.967,25.348,3.565,1.089,,,,,1602,0.159,people tested,32.41,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22
SWE,Sweden,26/03/2020,2510,238,42,6,248.533,23.566,4.159,0.594,,,,,1641,0.162,people tested,32.41,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22
SWE,Sweden,27/03/2020,2806,296,66,24,277.842,29.309,6.535,2.376,,,,,1680,0.166,people tested,32.41,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22
SWE,Sweden,28/03/2020,3046,240,92,26,301.606,23.764,9.11,2.574,,,,,1718,0.17,people tested,32.41,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22
SWE,Sweden,29/03/2020,3447,401,102,10,341.312,39.706,10.1,0.99,36900,,3.654,,1757,0.174,people tested,32.41,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22
SWE,Sweden,30/03/2020,3700,253,110,8,366.363,25.051,10.892,0.792,,,,,1869,0.185,people tested,32.41,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22
SWE,Sweden,01/04/2020,4435,407,180,34,439.141,40.3,17.823,3.367,,,,,2094,0.207,people tested,32.41,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22
SWE,Sweden,02/04/2020,4947,512,239,59,489.837,50.697,23.665,5.842,,,,,2206,0.218,people tested,32.41,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22
SWE,Sweden,03/04/2020,5466,519,282,43,541.227,51.39,27.923,4.258,,,,,2318,0.23,people tested,32.41,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22
SWE,Sweden,04/04/2020,6078,612,333,51,601.826,60.598,32.973,5.05,,,,,2431,0.241,people tested,37.96,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22
SWE,Sweden,05/04/2020,6443,365,373,40,637.967,36.141,36.933,3.961,54700,,5.416,,2543,0.252,people tested,37.96,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22
