"Data (mm-dd)","Morte natural","Causa externa","Sujeito a investigação"
"Jan-01","328","5","43"
"Jan-02","335","5","41"
"Jan-03","335","3","36"
"Jan-04","312","6","46"
"Jan-05","297","3","33"
"Jan-06","313","10","41"
"Jan-07","337","3","42"
"Jan-08","340","2","42"
"Jan-09","331","3","46"
"Jan-10","335","3","38"
"Jan-11","343","3","32"
"Jan-12","358","4","43"
"Jan-13","369","2","34"
"Jan-14","345","4","48"
"Jan-15","386","3","37"
"Jan-16","344","3","41"
"Jan-17","359","3","27"
"Jan-18","347","2","39"
"Jan-19","349","2","31"
"Jan-20","331","4","40"
"Jan-21","313","4","39"
"Jan-22","339","1","37"
"Jan-23","363","2","37"
"Jan-24","338","5","37"
"Jan-25","375","2","36"
"Jan-26","341","2","30"
"Jan-27","376","5","31"
"Jan-28","345","5","25"
"Jan-29","333","8","26"
"Jan-30","348","4","26"
"Jan-31","345","7","40"
"Fev-01","347","7","29"
"Fev-02","346","3","34"
"Fev-03","361","3","35"
"Fev-04","341","7","31"
"Fev-05","325","3","28"
"Fev-06","310","1","33"
"Fev-07","321","2","29"
"Fev-08","307","2","28"
"Fev-09","302","3","25"
"Fev-10","290","3","38"
"Fev-11","284","4","36"
"Fev-12","304","7","25"
"Fev-13","292","6","35"
"Fev-14","288","3","25"
"Fev-15","289","7","35"
"Fev-16","280","2","29"
"Fev-17","323","4","35"
"Fev-18","274","7","32"
"Fev-19","294","3","43"
"Fev-20","281","3","33"
"Fev-21","309","4","37"
"Fev-22","317","8","27"
"Fev-23","290","3","37"
"Fev-24","289","6","38"
"Fev-25","298","3","27"
"Fev-26","278","4","34"
"Fev-27","320","4","33"
"Fev-28","286","2","29"
"Fev-29","290","2","27"
"Mar-01","301","2","30"
"Mar-02","273","3","36"
"Mar-03","281","7","40"
"Mar-04","268","2","30"
"Mar-05","268","1","36"
"Mar-06","275","3","36"
"Mar-07","289","3","29"
"Mar-08","270","3","28"
"Mar-09","302","5","30"
"Mar-10","302","4","33"
"Mar-11","316","5","28"
"Mar-12","305","4","35"
"Mar-13","313","2","31"
"Mar-14","324","2","12"
"Mar-15","269","3","40"
"Mar-16","312","4","30"
"Mar-17","311","5","23"
"Mar-18","286","7","40"
"Mar-19","326","4","39"
"Mar-20","324","3","38"
"Mar-21","318","4","31"
"Mar-22","294","4","37"
"Mar-23","285","2","40"
"Mar-24","339","6","34"
"Mar-25","319","5","36"
"Mar-26","350","1","38"
"Mar-27","325","4","39"
"Mar-28","314","4","45"
"Mar-29","317","3","46"
"Mar-30","321","2","46"
"Mar-31","340","2","36"
"Abr-01","336","3","42"
"Abr-02","340","2","34"
"Abr-03","348","2","38"
"Abr-04","366","6","50"
"Abr-05","306","0","36"
"Abr-06","334","2","41"
"Abr-07","347","6","32"
"Abr-08","351","5","34"
"Abr-09","344","2","37"
"Abr-10","318","5","36"
"Abr-11","305","1","42"
"Abr-12","329","9","33"
"Abr-13","318","4","48"
"Abr-14","305","4","30"
"Abr-15","306","1","33"
"Abr-16","312","2","34"
"Abr-17","321","5","25"
"Abr-18","299","2","28"
"Abr-19","279","6","23"
"Abr-20","324","3","25"
"Abr-21","289","2","20"
"Abr-22","307","3","17"
"Abr-23","290","7","39"
"Abr-24","290","4","33"
"Abr-25","305","3","29"
"Abr-26","296","4","18"
"Abr-27","268","3","36"
"Abr-28","295","4","25"
"Abr-29","245","8","24"
"Abr-30","265","2","35"
"Mai-01","301","5","31"
"Mai-02","271","6","28"
"Mai-03","283","6","29"
"Mai-04","275","5","33"
"Mai-05","287","5","33"
"Mai-06","282","4","30"
"Mai-07","294","6","32"
"Mai-08","293","1","24"
"Mai-09","270","9","25"
"Mai-10","239","5","21"
"Mai-11","266","3","21"
"Mai-12","289","4","36"
"Mai-13","229","7","30"
"Mai-14","263","4","30"
"Mai-15","249","5","16"
"Mai-16","261","5","37"
"Mai-17","266","2","36"
"Mai-18","255","5","33"
"Mai-19","259","8","25"
"Mai-20","259","4","35"
"Mai-21","255","6","23"
"Mai-22","242","6","33"
"Mai-23","262","3","36"
"Mai-24","263","9","36"
"Mai-25","317","3","25"
"Mai-26","288","9","24"
"Mai-27","303","2","28"
"Mai-28","157","0","11"
