dico,concelho,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,mais_recente,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,30/05/2020,31/05/2020,01/06/2020,02/06/2020,03/06/2020,04/06/2020,05/06/2020,06/06/2020,07/06/2020,08/06/2020,09/06/2020,10/06/2020,11/06/2020,12/06/2020,13/06/2020,14/06/2020,15/06/2020,16/06/2020,17/06/2020,18/06/2020,19/06/2020,20/06/2020,21/06/2020,22/06/2020,23/06/2020,24/06/2020,25/06/2020,26/06/2020,27/06/2020,28/06/2020,29/06/2020,30/06/2020
"0101","ÁGUEDA","3","3","10","10","13","15","18","14","19","20","22","24","24","25","26","26","30","31","32","32","32","34","35","38","40","41","42","42","40","40","42","42","41","65","44","44","44","44","44","46","47","48","55","55","55","56","56","57","57","57","60","60","60","62","62","62","62","62","62","64","64","64","64","65","65","65","65","65","65","65","65","65","65",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0102","ALBERGARIA-A-VELHA","5","5","21","28","28","32","50","31","32","34","52","53","54","54","54","54","52","52","52","52","52","54","56","56","57","57","57","57","58","58","61","61","62","91","72","72","72","72","82","82","83","83","83","83","84","87","87","87","87","87","87","87","87","87","87","87","87","87","87","87","87","87","87","88","88","88","89","89","89","89","91","91","91",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0103","ANADIA",,,,"4","4","4","5","5","5","5","7","10","11","11","12","13","12","13","13","13","15","18","18","19","20","20","20","20","23","23","27","28","31","43","36","36","36","36","37","37","37","37","40","40","40","40","40","40","40","40","40","40","41","42","42","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0104","AROUCA",,,,,"8","10","12","12","14","14","14","15","15","16","17","17","23","23","25","26","26","28","27","26","26","26","27","30","30","30","30","30","30","41","31","31","31","31","34","34","35","35","35","35","35","35","36","36","37","37","37","37","37","39","39","39","39","39","39","40","40","40","40","41","41","41","41","41","41","41","41","41","41",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0105","AVEIRO","6","6","46","55","62","95","95","70","87","127","130","140","141","142","151","152","153","158","160","164","165","170","203","227","232","235","236","237","236","240","243","243","250","342","278","278","278","278","273","275","275","278","291","300","300","300","300","306","308","308","313","314","324","324","324","324","324","327","330","331","332","334","334","334","334","334","335","335","336","336","338","341","342",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0106","CASTELO DE PAIVA",,,,,,,,,,,"3","3","4","5","5","5","5","7","7","7","7","8","8","8","8","8","8","8","11","10","9","10","10","20","10","10","10","10","14","14","14","14","14","14","14","15","15","16","16","17","19","19","19","19","19","19","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0107","ESPINHO","8","9","13","17","18","27","29","25","26","27","28","28","31","37","37","37","39","39","42","42","45","45","45","51","52","53","56","56","60","60","63","63","66","92","69","69","69","69","74","76","76","76","73","73","74","76","76","76","76","76","76","77","78","79","81","82","82","82","82","88","88","88","88","89","89","89","91","91","91","91","91","92","92",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0108","ESTARREJA",,,"6","9","15","16","23","20","26","31","33","34","36","36","37","39","39","42","44","44","46","48","48","48","48","55","56","56","52","52","52","52","52","100","59","60","60","60","64","64","69","72","77","77","77","77","77","87","88","88","90","92","92","93","93","93","93","95","95","95","95","95","95","95","95","95","97","97","99","99","99","100","100",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0109","SANTA MARIA DA FEIRA","33","39","45","54","103","136","154","148","162","174","187","212","216","224","231","233","246","254","265","269","279","279","292","306","311","323","338","340","339","339","356","356","358","485","387","387","387","387","396","399","406","412","416","419","423","426","437","440","440","442","446","448","448","450","450","450","450","454","468","469","470","474","476","476","477","480","481","481","481","481","481","483","485",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0110","ÍLHAVO",,,"10","12","12","12","18","14","18","23","25","45","54","54","86","86","83","84","87","88","88","88","89","90","90","91","91","91","90","90","95","95","95","133","108","108","108","108","99","99","99","105","111","111","111","111","111","112","112","112","118","118","120","120","122","122","122","122","125","128","128","128","128","129","129","131","133","133","133","133","133","133","133",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0111","MEALHADA",,,,,,"4","5","3","5","5","7","7","8","8","10","10","10","11","11","12","13","13","14","15","15","15","13","13","13","13","14","14","14","18","16","16","16","16","17","17","17","17","18","18","16","17","17","17","17","17","17","17","17","17","17","17","17","17","17","17","17","17","17","17","18","18","18","18","18","18","18","18","18",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0112","MURTOSA",,,,"4","5","6","6","6","7","7","7","6","6","6","6","6","6","6","6","6","6","6","6","7","7","7","7","8","8","8","8","8","8","17","9","9","9","9","9","9","11","11","13","13","13","13","13","17","17","17","17","17","17","17","17","17","17","17","17","17","17","17","17","17","17","17","17","17","17","17","17","17","17",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0113","OLIVEIRA DE AZEMÉIS","11","18","26","30","46","67","71","59","67","71","75","82","84","86","92","94","99","106","114","117","118","118","130","143","145","149","149","150","147","147","149","149","149","212","163","163","163","163","170","172","173","174","175","176","177","180","186","187","187","191","193","193","193","193","194","195","197","198","203","207","207","207","207","210","210","210","210","209","209","209","210","212","212",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0114","OLIVEIRA DO BAIRRO",,,"6","7","7","9","10","9","10","10","10","11","11","11","13","13","14","15","15","15","15","16","16","16","16","16","18","18","17","17","17","17","17","40","21","21","21","21","24","24","24","24","26","26","27","28","28","28","28","28","32","32","32","34","34","34","34","34","36","36","36","37","37","38","38","39","39","39","39","39","39","40","40",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0115","OVAR","55","58","119","145","145","159","241","159","194","209","220","222","238","224","247","273","275","379","403","409","416","435","455","487","498","504","511","511","516","516","532","534","536","662","564","564","564","564","557","565","566","566","573","574","574","574","574","614","625","626","635","636","636","640","640","640","640","642","646","651","651","652","652","652","652","652","661","661","661","662","662","662","662",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0116","SÃO JOÃO DA MADEIRA",,,"3","9","13","28","32","25","28","30","31","32","32","35","35","36","36","41","44","44","45","48","51","52","52","52","52","52","53","53","55","55","55","79","57","57","57","57","62","62","62","62","62","62","63","64","64","65","65","65","66","66","66","66","66","66","67","67","67","71","71","70","70","74","74","75","75","75","75","77","77","77","79",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0117","SEVER DO VOUGA",,,,,,"3","3",,,,,"4","5","5","5","5","5","5","7","7","7","7","21","28","28","28","28","28","28","28","29","29","29","44","31","31","31","31","32","32","34","35","36","36","36","36","36","38","39","39","41","41","41","42","42","42","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","44","44",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0118","VAGOS",,,"3","4","5","5","5","5","5","6","7","7","8","8","9","9","9","11","13","13","13","13","13","15","15","15","15","15","16","16","17","17","17","23","18","18","18","18","19","19","19","19","20","20","20","20","20","20","20","20","20","20","21","21","22","22","22","22","22","22","22","22","22","22","22","22","22","22","22","22","22","22","23",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0119","VALE DE CAMBRA","3","4","3","5","15","24","25","22","23","23","25","31","33","36","39","40","44","48","52","55","60","63","66","71","72","85","91","92","83","83","85","85","85","155","102","102","102","102","135","136","136","136","136","136","137","139","149","149","150","150","151","153","153","153","153","153","153","153","154","154","154","155","155","155","155","155","155","155","155","155","155","155","155",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0201","ALJUSTREL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0202","ALMODÔVAR",,,,,,,,,,,,,,,,,,,,,,,"3","3","3","3","3","3","3","3","3","3","3","8","3","3","3","3","8","8","8","8","7","8","8","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","8","8","8","8","8","8","8","8",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0203","ALVITO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0204","BARRANCOS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0205","BEJA",,,,,,,,,,,"3","3","3","3","3","5","5","5","6","6","6","8","9","9","9","9","9","9","9","9","9","9","9","15","9","9","9","9","10","10","10","10","10","10","11","11","11","11","11","12","12","12","13","13","14","14","14","14","14","14","14","14","14","14","15","15","15","15","15","15","15","15","15",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0206","CASTRO VERDE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0207","CUBA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","3","3","3","3","4","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0208","FERREIRA DO ALENTEJO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0209","MÉRTOLA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0210","MOURA",,,,,,,,,,,,,,,,,,,"22","22","22","27","27","28","28","28","28","28","29","29","29","29","29","71","34","34","39","39","54","54","54","54","54","54","54","54","57","57","57","57","68","68","68","68","68","68","68","71","71","71","71","71","71","71","71","71","71","71","71","71","71","71","71",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0211","ODEMIRA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","3","11","3","3","3","3","4","4","4","4","4","4","4","6","6","7","7","7","7","7","7","7","7","7","8","8","8","8","8","8","8","8","8","9","9","10","9","10","11","11","11",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0212","OURIQUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0213","SERPA",,,,,,,,,,"3","3","3","4","4","6","6","6","17","17","17","17","17","18","18","18","18","18","18","18","18","18","18","18","14","18","18","18","18","18","18","18","18","15","15","15","15","15","15","15","15","15","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0214","VIDIGUEIRA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
